team_key,team_name,team_id,wins,losses,ties,points_for,points_against,rank
449.l.808129.t.5,Deserves to be Shot,5,0,0,0,0.0,0.0,0
449.l.808129.t.8,WHERESTUA,8,0,0,0,0.0,0.0,0
449.l.808129.t.1,Cap Stoppers,1,0,0,0,0.0,0.0,0
449.l.808129.t.15,Pigs on the 7th Rank,15,0,0,0,0.0,0.0,0
449.l.808129.t.2,Gorlock the destroyer Schwartz,2,0,0,0,0.0,0.0,0
449.l.808129.t.10,🍾💼🥰,10,0,0,0,0.0,0.0,0
449.l.808129.t.7,Stewed C,7,0,0,0,0.0,0.0,0
449.l.808129.t.13,Life with Derrick,13,0,0,0,0.0,0.0,0
449.l.808129.t.4,Hand Me the Piss,4,0,0,0,0.0,0.0,0
449.l.808129.t.11,Sweeney.,11,0,0,0,0.0,0.0,0
449.l.808129.t.12,Sansa Ludacris,12,0,0,0,0.0,0.0,0
449.l.808129.t.6,Here Without You Tishman,6,0,0,0,0.0,0.0,0
449.l.808129.t.9,Senior AI Coke Twins,9,0,0,0,0.0,0.0,0
449.l.808129.t.14,Work Ass,14,0,0,0,0.0,0.0,0
449.l.808129.t.3,Gotham Rogues,3,0,0,0,0.0,0.0,0
449.l.808129.t.16,Marvin’s Receiver Room,16,0,0,0,0.0,0.0,0
