week,team_1,team_1_key,team_1_points,team_2,team_2_key,team_2_points
1,Cap Stoppers,449.l.808129.t.1,122.24,Stewed C,449.l.808129.t.7,164.94
1,Gorlock the destroyer Schwartz,449.l.808129.t.2,132.4,Marvin’s Receiver Room,449.l.808129.t.16,112.82
1,Gotham Rogues,449.l.808129.t.3,81.66,Senior AI Coke Twins,449.l.808129.t.9,61.84
1,Hand Me the Piss,449.l.808129.t.4,123.5,Here Without You Tishman,449.l.808129.t.6,96.14
1,Deserves to be Shot,449.l.808129.t.5,114.76,🍾💼🥰,449.l.808129.t.10,104.52
1,WHERESTUA,449.l.808129.t.8,112.88,Work Ass,449.l.808129.t.14,97.2
1,Sweeney.,449.l.808129.t.11,78.1,Sansa Ludacris,449.l.808129.t.12,92.18
1,Life with Derrick,449.l.808129.t.13,102.02,Pigs on the 7th Rank,449.l.808129.t.15,122.8
2,Cap Stoppers,449.l.808129.t.1,150.64,Gotham Rogues,449.l.808129.t.3,90.34
2,Gorlock the destroyer Schwartz,449.l.808129.t.2,126.4,Deserves to be Shot,449.l.808129.t.5,99.74
2,Hand Me the Piss,449.l.808129.t.4,124.26,🍾💼🥰,449.l.808129.t.10,90.14
2,Here Without You Tishman,449.l.808129.t.6,65.14,WHERESTUA,449.l.808129.t.8,105.34
2,Stewed C,449.l.808129.t.7,134.08,Work Ass,449.l.808129.t.14,101.78
2,Senior AI Coke Twins,449.l.808129.t.9,67.46,Life with Derrick,449.l.808129.t.13,96.78
2,Sweeney.,449.l.808129.t.11,128.92,Marvin’s Receiver Room,449.l.808129.t.16,125.38
2,Sansa Ludacris,449.l.808129.t.12,154.06,Pigs on the 7th Rank,449.l.808129.t.15,91.6
3,Cap Stoppers,449.l.808129.t.1,112.06,Work Ass,449.l.808129.t.14,87.62
3,Gorlock the destroyer Schwartz,449.l.808129.t.2,93.32,Hand Me the Piss,449.l.808129.t.4,118.94
3,Gotham Rogues,449.l.808129.t.3,73.1,Life with Derrick,449.l.808129.t.13,150.72
3,Deserves to be Shot,449.l.808129.t.5,82.68,Sweeney.,449.l.808129.t.11,109.94
3,Here Without You Tishman,449.l.808129.t.6,64.7,Stewed C,449.l.808129.t.7,112.62
3,WHERESTUA,449.l.808129.t.8,78.96,🍾💼🥰,449.l.808129.t.10,129.34
3,Senior AI Coke Twins,449.l.808129.t.9,120.38,Sansa Ludacris,449.l.808129.t.12,149.26
3,Pigs on the 7th Rank,449.l.808129.t.15,118.06,Marvin’s Receiver Room,449.l.808129.t.16,106.98
4,Cap Stoppers,449.l.808129.t.1,108.98,Here Without You Tishman,449.l.808129.t.6,94.28
4,Gorlock the destroyer Schwartz,449.l.808129.t.2,146.58,WHERESTUA,449.l.808129.t.8,90.74
4,Gotham Rogues,449.l.808129.t.3,89.62,Work Ass,449.l.808129.t.14,66.46
4,Hand Me the Piss,449.l.808129.t.4,115.24,Sweeney.,449.l.808129.t.11,127.5
4,Deserves to be Shot,449.l.808129.t.5,101.28,Pigs on the 7th Rank,449.l.808129.t.15,77.44
4,Stewed C,449.l.808129.t.7,116.12,🍾💼🥰,449.l.808129.t.10,68.18
4,Senior AI Coke Twins,449.l.808129.t.9,144.32,Marvin’s Receiver Room,449.l.808129.t.16,119.28
4,Sansa Ludacris,449.l.808129.t.12,109.24,Life with Derrick,449.l.808129.t.13,148.54
5,Cap Stoppers,449.l.808129.t.1,112.26,🍾💼🥰,449.l.808129.t.10,115.16
5,Gorlock the destroyer Schwartz,449.l.808129.t.2,144.44,Stewed C,449.l.808129.t.7,135.2
5,Gotham Rogues,449.l.808129.t.3,123.3,Sansa Ludacris,449.l.808129.t.12,149.0
5,Hand Me the Piss,449.l.808129.t.4,100.12,Pigs on the 7th Rank,449.l.808129.t.15,114.66
5,Deserves to be Shot,449.l.808129.t.5,112.88,Senior AI Coke Twins,449.l.808129.t.9,81.86
5,Here Without You Tishman,449.l.808129.t.6,86.76,Work Ass,449.l.808129.t.14,124.46
5,WHERESTUA,449.l.808129.t.8,80.8,Sweeney.,449.l.808129.t.11,103.88
5,Life with Derrick,449.l.808129.t.13,136.68,Marvin’s Receiver Room,449.l.808129.t.16,105.48
6,Cap Stoppers,449.l.808129.t.1,92.16,Gorlock the destroyer Schwartz,449.l.808129.t.2,90.8
6,Gotham Rogues,449.l.808129.t.3,101.48,Here Without You Tishman,449.l.808129.t.6,110.02
6,Hand Me the Piss,449.l.808129.t.4,134.02,Senior AI Coke Twins,449.l.808129.t.9,104.1
6,Deserves to be Shot,449.l.808129.t.5,135.2,Life with Derrick,449.l.808129.t.13,154.66
6,Stewed C,449.l.808129.t.7,131.68,Sweeney.,449.l.808129.t.11,115.98
6,WHERESTUA,449.l.808129.t.8,67.52,Pigs on the 7th Rank,449.l.808129.t.15,142.34
6,🍾💼🥰,449.l.808129.t.10,98.7,Work Ass,449.l.808129.t.14,96.32
6,Sansa Ludacris,449.l.808129.t.12,93.28,Marvin’s Receiver Room,449.l.808129.t.16,111.4
7,Cap Stoppers,449.l.808129.t.1,144.24,Sweeney.,449.l.808129.t.11,49.92
7,Gorlock the destroyer Schwartz,449.l.808129.t.2,141.62,Work Ass,449.l.808129.t.14,95.62
7,Gotham Rogues,449.l.808129.t.3,99.42,Marvin’s Receiver Room,449.l.808129.t.16,99.42
7,Hand Me the Piss,449.l.808129.t.4,112.46,Life with Derrick,449.l.808129.t.13,137.88
7,Deserves to be Shot,449.l.808129.t.5,117.12,Sansa Ludacris,449.l.808129.t.12,88.48
7,Here Without You Tishman,449.l.808129.t.6,104.3,🍾💼🥰,449.l.808129.t.10,76.66
7,Stewed C,449.l.808129.t.7,110.18,Pigs on the 7th Rank,449.l.808129.t.15,131.16
7,WHERESTUA,449.l.808129.t.8,114.48,Senior AI Coke Twins,449.l.808129.t.9,86.98
8,Cap Stoppers,449.l.808129.t.1,142.32,Pigs on the 7th Rank,449.l.808129.t.15,145.5
8,Gorlock the destroyer Schwartz,449.l.808129.t.2,99.44,Here Without You Tishman,449.l.808129.t.6,104.6
8,Gotham Rogues,449.l.808129.t.3,133.64,🍾💼🥰,449.l.808129.t.10,103.5
8,Hand Me the Piss,449.l.808129.t.4,127.4,Sansa Ludacris,449.l.808129.t.12,123.04
8,Deserves to be Shot,449.l.808129.t.5,115.42,Marvin’s Receiver Room,449.l.808129.t.16,142.46
8,Stewed C,449.l.808129.t.7,112.86,Senior AI Coke Twins,449.l.808129.t.9,136.8
8,WHERESTUA,449.l.808129.t.8,106.58,Life with Derrick,449.l.808129.t.13,153.0
8,Sweeney.,449.l.808129.t.11,121.22,Work Ass,449.l.808129.t.14,122.44
9,Cap Stoppers,449.l.808129.t.1,117.34,Senior AI Coke Twins,449.l.808129.t.9,86.1
9,Gorlock the destroyer Schwartz,449.l.808129.t.2,149.54,🍾💼🥰,449.l.808129.t.10,102.1
9,Gotham Rogues,449.l.808129.t.3,86.82,Deserves to be Shot,449.l.808129.t.5,128.9
9,Hand Me the Piss,449.l.808129.t.4,142.56,Marvin’s Receiver Room,449.l.808129.t.16,88.2
9,Here Without You Tishman,449.l.808129.t.6,64.92,Sweeney.,449.l.808129.t.11,113.04
9,Stewed C,449.l.808129.t.7,163.2,Life with Derrick,449.l.808129.t.13,107.08
9,WHERESTUA,449.l.808129.t.8,134.08,Sansa Ludacris,449.l.808129.t.12,116.28
9,Work Ass,449.l.808129.t.14,93.56,Pigs on the 7th Rank,449.l.808129.t.15,100.2
10,Cap Stoppers,449.l.808129.t.1,95.88,Life with Derrick,449.l.808129.t.13,154.0
10,Gorlock the destroyer Schwartz,449.l.808129.t.2,102.22,Gotham Rogues,449.l.808129.t.3,95.12
10,Hand Me the Piss,449.l.808129.t.4,82.64,Deserves to be Shot,449.l.808129.t.5,130.6
10,Here Without You Tishman,449.l.808129.t.6,77.44,Pigs on the 7th Rank,449.l.808129.t.15,97.42
10,Stewed C,449.l.808129.t.7,98.44,Sansa Ludacris,449.l.808129.t.12,114.0
10,WHERESTUA,449.l.808129.t.8,100.48,Marvin’s Receiver Room,449.l.808129.t.16,94.28
10,Senior AI Coke Twins,449.l.808129.t.9,121.12,Work Ass,449.l.808129.t.14,101.88
10,🍾💼🥰,449.l.808129.t.10,109.64,Sweeney.,449.l.808129.t.11,81.76
11,Cap Stoppers,449.l.808129.t.1,123.56,Sansa Ludacris,449.l.808129.t.12,109.42
11,Gorlock the destroyer Schwartz,449.l.808129.t.2,123.28,Sweeney.,449.l.808129.t.11,83.58
