week,team_1,team_1_key,team_1_points,team_2,team_2_key,team_2_points
11,Gotham Rogues,449.l.808129.t.3,102.3,Hand Me the Piss,449.l.808129.t.4,106.4
11,Deserves to be Shot,449.l.808129.t.5,141.66,WHERESTUA,449.l.808129.t.8,136.92
11,Here Without You Tishman,449.l.808129.t.6,95.34,Senior AI Coke Twins,449.l.808129.t.9,146.38
11,Stewed C,449.l.808129.t.7,140.72,Marvin’s Receiver Room,449.l.808129.t.16,96.06
11,🍾💼🥰,449.l.808129.t.10,153.74,Pigs on the 7th Rank,449.l.808129.t.15,114.84
11,Life with Derrick,449.l.808129.t.13,135.18,Work Ass,449.l.808129.t.14,95.74
12,Cap Stoppers,449.l.808129.t.1,122.86,Marvin’s Receiver Room,449.l.808129.t.16,105.76
12,Gorlock the destroyer Schwartz,449.l.808129.t.2,95.56,Pigs on the 7th Rank,449.l.808129.t.15,129.52
12,Gotham Rogues,449.l.808129.t.3,83.48,Sweeney.,449.l.808129.t.11,94.92
12,Hand Me the Piss,449.l.808129.t.4,95.54,WHERESTUA,449.l.808129.t.8,157.28
12,Deserves to be Shot,449.l.808129.t.5,82.22,Stewed C,449.l.808129.t.7,152.28
12,Here Without You Tishman,449.l.808129.t.6,137.48,Life with Derrick,449.l.808129.t.13,144.02
12,Senior AI Coke Twins,449.l.808129.t.9,75.2,🍾💼🥰,449.l.808129.t.10,114.12
12,Sansa Ludacris,449.l.808129.t.12,77.2,Work Ass,449.l.808129.t.14,95.56
13,Cap Stoppers,449.l.808129.t.1,90.5,Deserves to be Shot,449.l.808129.t.5,132.06
13,Gorlock the destroyer Schwartz,449.l.808129.t.2,124.1,Senior AI Coke Twins,449.l.808129.t.9,78.66
13,Gotham Rogues,449.l.808129.t.3,108.38,WHERESTUA,449.l.808129.t.8,174.76
13,Hand Me the Piss,449.l.808129.t.4,105.74,Stewed C,449.l.808129.t.7,152.36
13,Here Without You Tishman,449.l.808129.t.6,177.14,Sansa Ludacris,449.l.808129.t.12,146.36
13,🍾💼🥰,449.l.808129.t.10,112.38,Life with Derrick,449.l.808129.t.13,101.1
13,Sweeney.,449.l.808129.t.11,107.0,Pigs on the 7th Rank,449.l.808129.t.15,143.16
13,Work Ass,449.l.808129.t.14,103.92,Marvin’s Receiver Room,449.l.808129.t.16,91.34
14,Cap Stoppers,449.l.808129.t.1,125.26,Hand Me the Piss,449.l.808129.t.4,104.02
14,Gorlock the destroyer Schwartz,449.l.808129.t.2,131.88,Life with Derrick,449.l.808129.t.13,121.4
14,Gotham Rogues,449.l.808129.t.3,99.86,Pigs on the 7th Rank,449.l.808129.t.15,124.56
14,Deserves to be Shot,449.l.808129.t.5,169.2,Work Ass,449.l.808129.t.14,101.92
14,Here Without You Tishman,449.l.808129.t.6,79.72,Marvin’s Receiver Room,449.l.808129.t.16,67.6
14,Stewed C,449.l.808129.t.7,74.2,WHERESTUA,449.l.808129.t.8,144.36
14,Senior AI Coke Twins,449.l.808129.t.9,135.9,Sweeney.,449.l.808129.t.11,139.5
14,🍾💼🥰,449.l.808129.t.10,104.9,Sansa Ludacris,449.l.808129.t.12,96.72
15,Cap Stoppers,449.l.808129.t.1,154.48,Gorlock the destroyer Schwartz,449.l.808129.t.2,127.9
15,Deserves to be Shot,449.l.808129.t.5,178.04,Stewed C,449.l.808129.t.7,138.22
15,WHERESTUA,449.l.808129.t.8,120.36,Life with Derrick,449.l.808129.t.13,88.3
15,🍾💼🥰,449.l.808129.t.10,80.8,Pigs on the 7th Rank,449.l.808129.t.15,107.74
16,Cap Stoppers,449.l.808129.t.1,121.36,Deserves to be Shot,449.l.808129.t.5,135.4
16,Gorlock the destroyer Schwartz,449.l.808129.t.2,167.34,Stewed C,449.l.808129.t.7,159.16
16,WHERESTUA,449.l.808129.t.8,121.58,Pigs on the 7th Rank,449.l.808129.t.15,106.36
16,🍾💼🥰,449.l.808129.t.10,107.52,Life with Derrick,449.l.808129.t.13,104.92
