week,team_key,player_key,player_name,display_position,points
1,449.l.808129.t.5,449.p.30977,Josh Allen,QB,31.18
1,449.l.808129.t.5,449.p.33465,Joshua Palmer,WR,2.5
1,449.l.808129.t.5,449.p.40211,Andrei Iosivas,WR,4.1
1,449.l.808129.t.5,449.p.40055,Bijan Robinson,RB,13.6
1,449.l.808129.t.5,449.p.33508,Rhamondre Stevenson,RB,20.1
1,449.l.808129.t.5,449.p.30136,Evan Engram,TE,1.0
1,449.l.808129.t.5,449.p.31960,Tony Pollard,RB,16.9
1,449.l.808129.t.5,449.p.29235,Jared Goff,QB,12.38
1,449.l.808129.t.5,449.p.40914,Ja'Lynn Polk,WR,1.1
1,449.l.808129.t.5,449.p.40196,Chase Brown,RB,3.8
1,449.l.808129.t.5,449.p.40915,Adonai Mitchell,WR,0.7
1,449.l.808129.t.5,449.p.40890,Xavier Legette,WR,5.5
1,449.l.808129.t.5,449.p.40981,Braelon Allen,RB,2.2
1,449.l.808129.t.5,449.p.40964,Luke McCaffrey,WR,3.3
1,449.l.808129.t.5,449.p.28378,Jason Myers,K,10.0
1,449.l.808129.t.5,449.p.100001,Falcons,DEF,3.0
1,449.l.808129.t.8,449.p.32675,Tua Tagovailoa,QB,18.62
1,449.l.808129.t.8,449.p.28534,Stefon Diggs,WR,18.9
1,449.l.808129.t.8,449.p.30996,Calvin Ridley,WR,6.5
1,449.l.808129.t.8,449.p.31856,Josh Jacobs,RB,11.4
1,449.l.808129.t.8,449.p.34047,Rachaad White,RB,13.6
1,449.l.808129.t.8,449.p.30213,Jonnu Smith,TE,1.2
1,449.l.808129.t.8,449.p.32685,Jerry Jeudy,WR,10.0
1,449.l.808129.t.8,449.p.30125,Deshaun Watson,QB,12.66
1,449.l.808129.t.8,449.p.41010,Jaylen Wright,RB,0.0
1,449.l.808129.t.8,449.p.25785,Russell Wilson,QB,0.0
1,449.l.808129.t.8,449.p.40041,Jaxon Smith-Njigba,WR,2.9
1,449.l.808129.t.8,449.p.40911,Keon Coleman,WR,7.1
1,449.l.808129.t.8,449.p.34063,Dameon Pierce,RB,1.6
1,449.l.808129.t.8,449.p.40889,Michael Penix Jr.,QB,0.0
1,449.l.808129.t.8,449.p.33537,Evan McPherson,K,6.0
1,449.l.808129.t.8,449.p.100018,Saints,DEF,14.0
1,449.l.808129.t.1,449.p.7200,Aaron Rodgers,QB,9.58
1,449.l.808129.t.1,449.p.31896,DK Metcalf,WR,4.4
1,449.l.808129.t.1,449.p.34104,Khalil Shakir,WR,11.7
1,449.l.808129.t.1,449.p.33413,Travis Etienne Jr.,RB,10.9
1,449.l.808129.t.1,449.p.40059,Jahmyr Gibbs,RB,15.4
1,449.l.808129.t.1,449.p.31019,Dallas Goedert,TE,5.1
1,449.l.808129.t.1,449.p.40118,De'Von Achane,RB,19.5
1,449.l.808129.t.1,449.p.30971,Baker Mayfield,QB,29.66
1,449.l.808129.t.1,449.p.34659,Rashid Shaheed,WR,14.8
1,449.l.808129.t.1,449.p.40696,Jaleel McLaughlin,RB,3.3
1,449.l.808129.t.1,449.p.33971,Jahan Dotson,WR,0.0
1,449.l.808129.t.1,449.p.31840,T.J. Hockenson,TE,0.0
1,449.l.808129.t.1,449.p.40892,Ricky Pearsall,WR,0.0
1,449.l.808129.t.1,449.p.24967,Tyrod Taylor,QB,6.14
1,449.l.808129.t.1,449.p.34344,Cameron Dicker,K,12.0
1,449.l.808129.t.1,449.p.100034,Texans,DEF,4.0
1,449.l.808129.t.15,449.p.40900,Caleb Williams,QB,7.22
1,449.l.808129.t.15,449.p.28392,Amari Cooper,WR,2.6
1,449.l.808129.t.15,449.p.31908,Terry McLaurin,WR,2.7
1,449.l.808129.t.15,449.p.30161,Joe Mixon,RB,25.3
1,449.l.808129.t.15,449.p.30218,James Conner,RB,17.8
1,449.l.808129.t.15,449.p.33392,Kyle Pitts Sr.,TE,10.1
1,449.l.808129.t.15,449.p.33412,Najee Harris,RB,8.4
1,449.l.808129.t.15,449.p.9265,Matthew Stafford,QB,15.68
1,449.l.808129.t.15,449.p.40119,Tyjae Spears,RB,5.2
1,449.l.808129.t.15,449.p.32798,Gabe Davis,WR,7.7
1,449.l.808129.t.15,449.p.40926,Jonathon Brooks,RB,0.0
1,449.l.808129.t.15,449.p.32736,Antonio Gibson,RB,1.8
1,449.l.808129.t.15,449.p.27590,Jimmy Garoppolo,QB,0.0
1,449.l.808129.t.15,449.p.40819,Brandon Aubrey,K,21.0
1,449.l.808129.t.15,449.p.100023,Steelers,DEF,12.0
1,449.l.808129.t.15,449.p.100033,Ravens,DEF,4.0
