pick,round,player_name,team_name,cost,player_key,team_key
1,1,Josh Allen,Deserves to be Shot,65,449.p.30977,449.l.808129.t.5
2,1,Patrick Mahomes,Hand Me the Piss,60,449.p.30123,449.l.808129.t.4
3,1,Amon-Ra St. Brown,🍾💼🥰,37,449.p.33500,449.l.808129.t.10
4,1,Michael Pittman Jr.,Marvin’s Receiver Room,16,449.p.32704,449.l.808129.t.16
5,1,Najee Harris,Pigs on the 7th Rank,15,449.p.33412,449.l.808129.t.15
6,1,Justin Jefferson,Gorlock the destroyer Schwartz,53,449.p.32692,449.l.808129.t.2
7,1,Malik Nabers,Senior AI Coke Twins,20,449.p.40899,449.l.808129.t.9
8,1,Trey McBride,Sweeney.,13,449.p.34010,449.l.808129.t.11
9,1,Christian McCaffrey,Senior AI Coke Twins,77,449.p.30121,449.l.808129.t.9
10,1,Tyreek Hill,Here Without You Tishman,56,449.p.29399,449.l.808129.t.6
11,1,Marvin Harrison Jr.,Marvin’s Receiver Room,35,449.p.40893,449.l.808129.t.16
12,1,CeeDee Lamb,Marvin’s Receiver Room,47,449.p.32687,449.l.808129.t.16
13,1,Jaylen Wright,WHERESTUA,6,449.p.41010,449.l.808129.t.8
14,1,Daniel Jones,Sweeney.,31,449.p.31838,449.l.808129.t.11
15,1,Justin Tucker,Sweeney.,4,449.p.26534,449.l.808129.t.11
16,1,Saquon Barkley,Stewed C,47,449.p.30972,449.l.808129.t.7
17,2,Puka Nacua,Gotham Rogues,32,449.p.40168,449.l.808129.t.3
18,2,C.J. Stroud,Gotham Rogues,56,449.p.40030,449.l.808129.t.3
19,2,Raheem Mostert,Here Without You Tishman,19,449.p.28654,449.l.808129.t.6
20,2,Justin Herbert,Sweeney.,50,449.p.32676,449.l.808129.t.11
21,2,Kirk Cousins,Gotham Rogues,46,449.p.25812,449.l.808129.t.3
22,2,Breece Hall,Hand Me the Piss,56,449.p.33991,449.l.808129.t.4
23,2,De'Von Achane,Cap Stoppers,28,449.p.40118,449.l.808129.t.1
24,2,Jacoby Brissett,Here Without You Tishman,9,449.p.29325,449.l.808129.t.6
25,2,Ja'Marr Chase,Life with Derrick,53,449.p.33393,449.l.808129.t.13
26,2,A.J. Brown,Here Without You Tishman,42,449.p.31883,449.l.808129.t.6
27,2,Rome Odunze,Sweeney.,11,449.p.40901,449.l.808129.t.11
28,2,Bijan Robinson,Deserves to be Shot,47,449.p.40055,449.l.808129.t.5
29,2,Tua Tagovailoa,WHERESTUA,50,449.p.32675,449.l.808129.t.8
30,2,Caleb Williams,Pigs on the 7th Rank,45,449.p.40900,449.l.808129.t.15
31,2,Jalen Hurts,Work Ass,62,449.p.32723,449.l.808129.t.14
32,2,Derrick Henry,Life with Derrick,32,449.p.29279,449.l.808129.t.13
33,3,Jonathan Taylor,Sansa Ludacris,43,449.p.32711,449.l.808129.t.12
34,3,Joe Burrow,Gorlock the destroyer Schwartz,57,449.p.32671,449.l.808129.t.2
35,3,Matthew Stafford,Pigs on the 7th Rank,44,449.p.9265,449.l.808129.t.15
36,3,Jordan Love,Here Without You Tishman,49,449.p.32696,449.l.808129.t.6
37,3,Baker Mayfield,Cap Stoppers,30,449.p.30971,449.l.808129.t.1
38,3,Garrett Wilson,Stewed C,40,449.p.33965,449.l.808129.t.7
39,3,Travis Kelce,Senior AI Coke Twins,27,449.p.26686,449.l.808129.t.9
40,3,Tyjae Spears,Pigs on the 7th Rank,10,449.p.40119,449.l.808129.t.15
41,3,Lamar Jackson,Marvin’s Receiver Room,61,449.p.31002,449.l.808129.t.16
42,3,Travis Etienne Jr.,Cap Stoppers,41,449.p.33413,449.l.808129.t.1
43,3,Brock Purdy,Senior AI Coke Twins,40,449.p.34218,449.l.808129.t.9
44,3,Mike Evans,Stewed C,24,449.p.27535,449.l.808129.t.7
45,3,Kyren Williams,Sansa Ludacris,33,449.p.34120,449.l.808129.t.12
46,3,Jayden Daniels,Stewed C,45,449.p.40896,449.l.808129.t.7
47,3,Dak Prescott,Hand Me the Piss,43,449.p.29369,449.l.808129.t.4
48,3,Nico Collins,Sweeney.,20,449.p.33477,449.l.808129.t.11
49,4,Brandon Aiyuk,Hand Me the Piss,21,449.p.32695,449.l.808129.t.4
50,4,Kenneth Walker III,Gorlock the destroyer Schwartz,25,449.p.33996,449.l.808129.t.2
51,4,Davante Adams,Gotham Rogues,29,449.p.27581,449.l.808129.t.3
52,4,Sam LaPorta,Marvin’s Receiver Room,15,449.p.40064,449.l.808129.t.16
53,4,Jonathon Brooks,Pigs on the 7th Rank,7,449.p.40926,449.l.808129.t.15
54,4,Josh Jacobs,WHERESTUA,30,449.p.31856,449.l.808129.t.8
55,4,Kyler Murray,Sansa Ludacris,46,449.p.31833,449.l.808129.t.12
56,4,Jahmyr Gibbs,Cap Stoppers,32,449.p.40059,449.l.808129.t.1
57,4,Isiah Pacheco,🍾💼🥰,33,449.p.34207,449.l.808129.t.10
58,4,Cooper Kupp,🍾💼🥰,24,449.p.30182,449.l.808129.t.10
59,4,Graham Gano,Senior AI Coke Twins,2,449.p.9526,449.l.808129.t.9
60,4,Chris Olave,Sweeney.,21,449.p.33966,449.l.808129.t.11
61,4,Drake London,Work Ass,23,449.p.33963,449.l.808129.t.14
62,4,Anthony Richardson Sr.,Work Ass,48,449.p.40040,449.l.808129.t.14
63,4,Jared Goff,Deserves to be Shot,45,449.p.29235,449.l.808129.t.5
64,4,Jaylen Waddle,Life with Derrick,21,449.p.33394,449.l.808129.t.13
65,5,Amari Cooper,Pigs on the 7th Rank,17,449.p.28392,449.l.808129.t.15
66,5,Joe Mixon,Pigs on the 7th Rank,25,449.p.30161,449.l.808129.t.15
67,5,Tee Higgins,Sansa Ludacris,14,449.p.32703,449.l.808129.t.12
68,5,49ers,Senior AI Coke Twins,2,449.p.100025,449.l.808129.t.9
69,5,Jerome Ford,Gorlock the destroyer Schwartz,7,449.p.34112,449.l.808129.t.2
70,5,Aaron Rodgers,Cap Stoppers,35,449.p.7200,449.l.808129.t.1
71,5,D'Andre Swift,Sweeney.,15,449.p.32705,449.l.808129.t.11
72,5,Ray-Ray McCloud,Hand Me the Piss,1,449.p.31157,449.l.808129.t.4
73,5,Geno Smith,Gorlock the destroyer Schwartz,25,449.p.26662,449.l.808129.t.2
74,5,Deebo Samuel,Sweeney.,20,449.p.31868,449.l.808129.t.11
75,5,Bryce Young,🍾💼🥰,15,449.p.40029,449.l.808129.t.10
76,5,DK Metcalf,Cap Stoppers,16,449.p.31896,449.l.808129.t.1
77,5,Marvin Mims Jr.,Deserves to be Shot,1,449.p.40090,449.l.808129.t.5
78,5,James Conner,Pigs on the 7th Rank,12,449.p.30218,449.l.808129.t.15
79,5,Trevor Lawrence,Life with Derrick,40,449.p.33389,449.l.808129.t.13
80,5,Keenan Allen,Senior AI Coke Twins,10,449.p.26699,449.l.808129.t.9
81,6,DeAndre Hopkins,Gotham Rogues,5,449.p.26650,449.l.808129.t.3
82,6,Rhamondre Stevenson,Deserves to be Shot,10,449.p.33508,449.l.808129.t.5
83,6,Mark Andrews,Here Without You Tishman,15,449.p.31056,449.l.808129.t.6
84,6,Aaron Jones Sr.,Marvin’s Receiver Room,13,449.p.30295,449.l.808129.t.16
85,6,Tony Pollard,Deserves to be Shot,11,449.p.31960,449.l.808129.t.5
86,6,Stefon Diggs,WHERESTUA,15,449.p.28534,449.l.808129.t.8
87,6,DJ Moore,🍾💼🥰,14,449.p.30994,449.l.808129.t.10
88,6,Ladd McConkey,Gotham Rogues,6,449.p.40908,449.l.808129.t.3
89,6,DeVonta Smith,Work Ass,19,449.p.33398,449.l.808129.t.14
90,6,Rachaad White,WHERESTUA,15,449.p.34047,449.l.808129.t.8
91,6,Zack Moss,Senior AI Coke Twins,7,449.p.32756,449.l.808129.t.9
92,6,Tank Dell,Work Ass,12,449.p.40097,449.l.808129.t.14
93,6,Gabe Davis,Pigs on the 7th Rank,6,449.p.32798,449.l.808129.t.15
94,6,Terry McLaurin,Pigs on the 7th Rank,9,449.p.31908,449.l.808129.t.15
95,6,Deshaun Watson,WHERESTUA,39,449.p.30125,449.l.808129.t.8
96,6,Alvin Kamara,Stewed C,15,449.p.30180,449.l.808129.t.7
97,7,George Kittle,Life with Derrick,7,449.p.30259,449.l.808129.t.13
98,7,James Cook III,Gorlock the destroyer Schwartz,23,449.p.34019,449.l.808129.t.2
99,7,George Pickens,Life with Derrick,8,449.p.34007,449.l.808129.t.13
100,7,David Montgomery,Life with Derrick,11,449.p.31905,449.l.808129.t.13
101,7,Zay Flowers,Sansa Ludacris,8,449.p.40039,449.l.808129.t.12
102,7,Derek Carr,Sansa Ludacris,20,449.p.27564,449.l.808129.t.12
103,7,Sam Darnold,🍾💼🥰,24,449.p.30973,449.l.808129.t.10
104,7,Khalil Shakir,Cap Stoppers,6,449.p.34104,449.l.808129.t.1
105,7,Christian Kirk,Sansa Ludacris,2,449.p.31017,449.l.808129.t.12
106,7,Evan Engram,Deserves to be Shot,6,449.p.30136,449.l.808129.t.5
107,7,Zamir White,Gotham Rogues,10,449.p.34078,449.l.808129.t.3
108,7,Dalton Kincaid,Sansa Ludacris,8,449.p.40048,449.l.808129.t.12
109,7,Chase Brown,Deserves to be Shot,7,449.p.40196,449.l.808129.t.5
110,7,Christian Watson,Work Ass,7,449.p.33989,449.l.808129.t.14
111,7,Diontae Johnson,🍾💼🥰,2,449.p.31898,449.l.808129.t.10
112,7,Jayden Reed,Sweeney.,4,449.p.40063,449.l.808129.t.11
113,8,Curtis Samuel,🍾💼🥰,3,449.p.30153,449.l.808129.t.10
114,8,Jaylen Warren,Work Ass,7,449.p.34447,449.l.808129.t.14
115,8,Cole Kmet,🍾💼🥰,3,449.p.32713,449.l.808129.t.10
116,8,Kyle Pitts Sr.,Pigs on the 7th Rank,5,449.p.33392,449.l.808129.t.15
117,8,Rashee Rice,Sansa Ludacris,5,449.p.40084,449.l.808129.t.12
118,8,Chris Godwin Jr.,Hand Me the Piss,6,449.p.30197,449.l.808129.t.4
119,8,Russell Wilson,WHERESTUA,20,449.p.25785,449.l.808129.t.8
120,8,Rashid Shaheed,Cap Stoppers,3,449.p.34659,449.l.808129.t.1
121,8,Calvin Ridley,WHERESTUA,5,449.p.30996,449.l.808129.t.8
122,8,Hollywood Brown,Hand Me the Piss,2,449.p.31857,449.l.808129.t.4
123,8,Drake Maye,Stewed C,9,449.p.40881,449.l.808129.t.7
124,8,Ravens,Pigs on the 7th Rank,1,449.p.100033,449.l.808129.t.15
125,8,Jaxon Smith-Njigba,WHERESTUA,4,449.p.40041,449.l.808129.t.8
126,8,Devin Singletary,🍾💼🥰,7,449.p.31906,449.l.808129.t.10
127,8,Gardner Minshew,Stewed C,8,449.p.32010,449.l.808129.t.7
128,8,Will Levis,🍾💼🥰,21,449.p.40068,449.l.808129.t.10
129,9,Brian Robinson Jr.,Sansa Ludacris,7,449.p.34054,449.l.808129.t.12
130,9,Austin Ekeler,🍾💼🥰,7,449.p.30423,449.l.808129.t.10
131,9,Trey Benson,Work Ass,4,449.p.40958,449.l.808129.t.14
132,9,Jake Ferguson,Work Ass,5,449.p.34085,449.l.808129.t.14
133,9,Javonte Williams,Gotham Rogues,7,449.p.33423,449.l.808129.t.3
134,9,Bo Nix,Life with Derrick,8,449.p.40875,449.l.808129.t.13
135,9,Nick Chubb,Life with Derrick,8,449.p.31005,449.l.808129.t.13
136,9,David Njoku,Hand Me the Piss,2,449.p.30142,449.l.808129.t.4
137,9,Ezekiel Elliott,Work Ass,6,449.p.29238,449.l.808129.t.14
138,9,Jordan Addison,Gorlock the destroyer Schwartz,1,449.p.40042,449.l.808129.t.2
139,9,Taysom Hill,Senior AI Coke Twins,6,449.p.30614,449.l.808129.t.9
140,9,Brandon Aubrey,Pigs on the 7th Rank,1,449.p.40819,449.l.808129.t.15
141,9,Javon Baker,Deserves to be Shot,1,449.p.40982,449.l.808129.t.5
142,9,Brock Bowers,Stewed C,3,449.p.40878,449.l.808129.t.7
143,9,Zach Charbonnet,Sweeney.,2,449.p.40075,449.l.808129.t.11
144,9,Cowboys,🍾💼🥰,1,449.p.100006,449.l.808129.t.10
145,10,Tyler Lockett,Senior AI Coke Twins,3,449.p.28457,449.l.808129.t.9
146,10,Blake Corum,Sansa Ludacris,8,449.p.40962,449.l.808129.t.12
147,10,Justin Fields,Life with Derrick,6,449.p.33399,449.l.808129.t.13
148,10,Roschon Johnson,Sweeney.,2,449.p.40162,449.l.808129.t.11
149,10,Courtland Sutton,Sansa Ludacris,2,449.p.31010,449.l.808129.t.12
150,10,Romeo Doubs,Life with Derrick,1,449.p.34088,449.l.808129.t.13
151,10,Jake Elliott,Stewed C,1,449.p.30266,449.l.808129.t.7
152,10,Gus Edwards,Sweeney.,4,449.p.31424,449.l.808129.t.11
153,10,Keon Coleman,WHERESTUA,3,449.p.40911,449.l.808129.t.8
154,10,Dallas Goedert,Cap Stoppers,2,449.p.31019,449.l.808129.t.1
155,10,Sam Howell,Senior AI Coke Twins,1,449.p.34100,449.l.808129.t.9
156,10,Dalton Schultz,Pigs on the 7th Rank,1,449.p.31107,449.l.808129.t.15
157,10,Brian Thomas Jr.,Hand Me the Piss,2,449.p.40883,449.l.808129.t.4
158,10,Rico Dowdle,Gotham Rogues,2,449.p.33100,449.l.808129.t.3
159,10,J.K. Dobbins,Marvin’s Receiver Room,2,449.p.32725,449.l.808129.t.16
160,10,Ty Chandler,🍾💼🥰,3,449.p.34125,449.l.808129.t.10
161,11,Pat Freiermuth,Sansa Ludacris,1,449.p.33443,449.l.808129.t.12
162,11,Easton Stick,Sweeney.,1,449.p.31998,449.l.808129.t.11
163,11,Aidan O'Connell,Marvin’s Receiver Room,1,449.p.40138,449.l.808129.t.16
164,11,Browns,Work Ass,1,449.p.100005,449.l.808129.t.14
165,11,Xavier Worthy,Marvin’s Receiver Room,3,449.p.40877,449.l.808129.t.16
166,11,Jerry Jeudy,WHERESTUA,2,449.p.32685,449.l.808129.t.8
167,11,Jameson Williams,Stewed C,1,449.p.33967,449.l.808129.t.7
168,11,Khalil Herbert,Hand Me the Piss,1,449.p.33605,449.l.808129.t.4
169,11,Jonnu Smith,WHERESTUA,3,449.p.30213,449.l.808129.t.8
170,11,Luke Musgrave,Gorlock the destroyer Schwartz,1,449.p.40074,449.l.808129.t.2
171,11,Chuba Hubbard,Senior AI Coke Twins,1,449.p.33514,449.l.808129.t.9
172,11,Antonio Gibson,Pigs on the 7th Rank,1,449.p.32736,449.l.808129.t.15
173,11,Joshua Palmer,Deserves to be Shot,1,449.p.33465,449.l.808129.t.5
174,11,Jaleel McLaughlin,Cap Stoppers,1,449.p.40696,449.l.808129.t.1
175,11,Kendre Miller,Gotham Rogues,1,449.p.40108,449.l.808129.t.3
176,11,Ray Davis,🍾💼🥰,1,449.p.40980,449.l.808129.t.10
177,12,Jets,Sansa Ludacris,1,449.p.100020,449.l.808129.t.12
178,12,Joe Flacco,Work Ass,2,449.p.8795,449.l.808129.t.14
179,12,Jamaal Williams,Marvin’s Receiver Room,1,449.p.30247,449.l.808129.t.16
180,12,Tyrone Tracy Jr.,Work Ass,1,449.p.41048,449.l.808129.t.14
181,12,Jakobi Meyers,Here Without You Tishman,1,449.p.32231,449.l.808129.t.6
182,12,Chiefs,Life with Derrick,1,449.p.100012,449.l.808129.t.13
183,12,Eagles,Stewed C,1,449.p.100021,449.l.808129.t.7
184,12,Harrison Butker,🍾💼🥰,2,449.p.30346,449.l.808129.t.10
185,12,Dameon Pierce,WHERESTUA,1,449.p.34063,449.l.808129.t.8
186,12,Mike Williams,Gorlock the destroyer Schwartz,1,449.p.30120,449.l.808129.t.2
187,12,Josh Downs,Senior AI Coke Twins,1,449.p.40126,449.l.808129.t.9
188,12,Steelers,Pigs on the 7th Rank,1,449.p.100023,449.l.808129.t.15
189,12,Ja'Lynn Polk,Deserves to be Shot,1,449.p.40914,449.l.808129.t.5
190,12,Jahan Dotson,Cap Stoppers,1,449.p.33971,449.l.808129.t.1
191,12,Elijah Mitchell,Gotham Rogues,1,449.p.33582,449.l.808129.t.3
192,12,Audric Estime,Sansa Ludacris,1,449.p.41019,449.l.808129.t.12
193,13,Dolphins,Sweeney.,1,449.p.100015,449.l.808129.t.11
194,13,Bills,Marvin’s Receiver Room,1,449.p.100002,449.l.808129.t.16
195,13,Dontayvion Wicks,Work Ass,1,449.p.40201,449.l.808129.t.14
196,13,Tyler Allgeier,Stewed C,2,449.p.34107,449.l.808129.t.7
197,13,Jason Sanders,Life with Derrick,1,449.p.31199,449.l.808129.t.13
198,13,Brandin Cooks,Stewed C,1,449.p.27548,449.l.808129.t.7
199,13,Vikings,Hand Me the Piss,1,449.p.100016,449.l.808129.t.4
200,13,Michael Penix Jr.,WHERESTUA,1,449.p.40889,449.l.808129.t.8
201,13,Bears,Gorlock the destroyer Schwartz,1,449.p.100003,449.l.808129.t.2
202,13,MarShawn Lloyd,Senior AI Coke Twins,1,449.p.40971,449.l.808129.t.9
203,13,Adonai Mitchell,Deserves to be Shot,1,449.p.40915,449.l.808129.t.5
204,13,T.J. Hockenson,Cap Stoppers,1,449.p.31840,449.l.808129.t.1
205,13,Michael Wilson,Gotham Rogues,1,449.p.40121,449.l.808129.t.3
206,13,Younghoe Koo,Sansa Ludacris,1,449.p.30426,449.l.808129.t.12
207,13,Rashod Bateman,Sweeney.,1,449.p.33415,449.l.808129.t.11
208,13,Adam Thielen,Marvin’s Receiver Room,1,449.p.27277,449.l.808129.t.16
209,14,Kenny Pickett,Work Ass,1,449.p.33975,449.l.808129.t.14
210,14,Bucky Irving,Here Without You Tishman,1,449.p.40993,449.l.808129.t.6
211,14,Hunter Henry,Life with Derrick,1,449.p.29269,449.l.808129.t.13
212,14,Miles Sanders,Stewed C,1,449.p.31885,449.l.808129.t.7
213,14,Jake Moody,Hand Me the Piss,1,449.p.40129,449.l.808129.t.4
214,14,Saints,WHERESTUA,1,449.p.100018,449.l.808129.t.8
215,14,Ka'imi Fairbairn,Gorlock the destroyer Schwartz,1,449.p.29792,449.l.808129.t.2
216,14,Cade Otton,Senior AI Coke Twins,1,449.p.34062,449.l.808129.t.9
217,14,Xavier Legette,Deserves to be Shot,1,449.p.40890,449.l.808129.t.5
218,14,Texans,Cap Stoppers,1,449.p.100034,449.l.808129.t.1
219,14,Ben Sinnott,Gotham Rogues,1,449.p.40931,449.l.808129.t.3
220,14,Josh Johnson,Marvin’s Receiver Room,1,449.p.8937,449.l.808129.t.16
221,14,Tyler Bass,Work Ass,1,449.p.32858,449.l.808129.t.14
222,14,Dustin Hopkins,Here Without You Tishman,1,449.p.26800,449.l.808129.t.6
223,14,DeMario Douglas,Life with Derrick,1,449.p.40222,449.l.808129.t.13
224,14,Kenneth Gainwell,Stewed C,1,449.p.33538,449.l.808129.t.7
