pick,round,player_name,team_name,cost,player_key,team_key
1,1,Samaje Perine,Willow Street Walruses,6,423.p.30227,423.l.168824.t.5
2,1,Saquon Barkley,Sweeney.,47,423.p.30972,423.l.168824.t.11
3,1,Justin Tucker,Gorlock the destroyer Schwartz,4,423.p.26534,423.l.168824.t.2
4,1,Jalen Hurts,Gorlock the destroyer Schwartz,61,423.p.32723,423.l.168824.t.2
5,1,Jayden Reed,Sweeney.,4,423.p.40063,423.l.168824.t.11
6,1,Austin Ekeler,Sweeney.,46,423.p.30423,423.l.168824.t.11
7,1,Justin Jefferson,Willow Street Walruses,60,423.p.32692,423.l.168824.t.5
8,1,Ja'Marr Chase,Morior Invictus,49,423.p.33393,423.l.168824.t.4
9,1,Gardner Minshew,Free Paid again..,5,423.p.32010,423.l.168824.t.6
10,1,Travis Kelce,Free Paid again..,51,423.p.26686,423.l.168824.t.6
11,1,Jaylen Waddle,🍾💼🥰,27,423.p.33394,423.l.168824.t.10
12,1,Josh Jacobs,Cap Stoppers,36,423.p.31856,423.l.168824.t.1
13,1,Christian McCaffrey,Sr. Sack Dumping Scum Bags,66,423.p.30121,423.l.168824.t.9
14,1,A.J. Brown,Garlic Aioli,37,423.p.31883,423.l.168824.t.7
15,1,Patrick Mahomes,Morior Invictus,67,423.p.30123,423.l.168824.t.4
16,1,Josh Allen,Sr. Sack Dumping Scum Bags,65,423.p.30977,423.l.168824.t.9
17,2,DK Metcalf,Garlic Aioli,22,423.p.31896,423.l.168824.t.7
18,2,Tyreek Hill,Tony the phenom,43,423.p.29399,423.l.168824.t.13
19,2,George Kittle,Alexander's Unreal Team,17,423.p.30259,423.l.168824.t.15
20,2,DeVonta Smith,Free Paid again..,29,423.p.33398,423.l.168824.t.6
21,2,Desmond Ridder,Alexander's Unreal Team,19,423.p.34030,423.l.168824.t.15
22,2,Garrett Wilson,Formerly Known as Mousecop,40,423.p.33965,423.l.168824.t.16
23,2,Darren Waller,Cap Stoppers,23,423.p.28592,423.l.168824.t.1
24,2,Miles Sanders,Morior Invictus,19,423.p.31885,423.l.168824.t.4
25,2,Kenny Pickett,Free Paid again..,36,423.p.33975,423.l.168824.t.6
26,2,Cooper Kupp,Tony the phenom,41,423.p.30182,423.l.168824.t.13
27,2,Nick Chubb,Formerly Known as Mousecop,40,423.p.31005,423.l.168824.t.16
28,2,Travis Etienne Jr.,🍾💼🥰,30,423.p.33413,423.l.168824.t.10
29,2,CeeDee Lamb,Gorlock the destroyer Schwartz,31,423.p.32687,423.l.168824.t.2
30,2,Rhamondre Stevenson,Alexander's Unreal Team,24,423.p.33508,423.l.168824.t.15
31,2,Lamar Jackson,Willow Street Walruses,59,423.p.31002,423.l.168824.t.5
32,2,Daniel Jones,Sansa Ludacris,47,423.p.31838,423.l.168824.t.12
33,3,Mark Andrews,The Lean Mean Fightin MaSheets,26,423.p.31056,423.l.168824.t.3
34,3,Bijan Robinson,Garlic Aioli,47,423.p.40055,423.l.168824.t.7
35,3,Breece Hall,Formerly Known as Mousecop,26,423.p.33991,423.l.168824.t.16
36,3,Derrick Henry,WHERESTUA,40,423.p.29279,423.l.168824.t.8
