team_key,team_name,team_id,wins,losses,ties,points_for,points_against,rank
423.l.168824.t.15,Alexander's Unreal Team,15,0,0,0,0.0,0.0,0
423.l.168824.t.14,Work Ass,14,0,0,0,0.0,0.0,0
423.l.168824.t.9,Sr. Sack Dumping Scum Bags,9,0,0,0,0.0,0.0,0
423.l.168824.t.2,Gorlock the destroyer Schwartz,2,0,0,0,0.0,0.0,0
423.l.168824.t.10,🍾💼🥰,10,0,0,0,0.0,0.0,0
423.l.168824.t.5,Willow Street Walruses,5,0,0,0,0.0,0.0,0
423.l.168824.t.8,WHERESTUA,8,0,0,0,0.0,0.0,0
423.l.168824.t.1,Cap Stoppers,1,0,0,0,0.0,0.0,0
423.l.168824.t.4,Morior Invictus,4,0,0,0,0.0,0.0,0
423.l.168824.t.12,Sansa Ludacris,12,0,0,0,0.0,0.0,0
423.l.168824.t.11,Sweeney.,11,0,0,0,0.0,0.0,0
423.l.168824.t.16,Formerly Known as Mousecop,16,0,0,0,0.0,0.0,0
423.l.168824.t.7,Garlic Aioli,7,0,0,0,0.0,0.0,0
423.l.168824.t.6,Free Paid again..,6,0,0,0,0.0,0.0,0
423.l.168824.t.13,Tony the phenom,13,0,0,0,0.0,0.0,0
423.l.168824.t.3,The Lean Mean Fightin MaSheets,3,0,0,0,0.0,0.0,0
