week,team_1,team_1_key,team_1_points,team_2,team_2_key,team_2_points
1,Cap Stoppers,423.l.168824.t.1,79.92,🍾💼🥰,423.l.168824.t.10,110.38
1,Gorlock the destroyer Schwartz,423.l.168824.t.2,108.32,Sansa Ludacris,423.l.168824.t.12,81.78
1,The Lean Mean Fightin MaSheets,423.l.168824.t.3,69.92,Morior Invictus,423.l.168824.t.4,121.16
1,Willow Street Walruses,423.l.168824.t.5,104.42,Tony the phenom,423.l.168824.t.13,106.6
1,Free Paid again..,423.l.168824.t.6,95.78,Alexander's Unreal Team,423.l.168824.t.15,117.56
1,Garlic Aioli,423.l.168824.t.7,107.14,Formerly Known as Mousecop,423.l.168824.t.16,97.88
1,WHERESTUA,423.l.168824.t.8,118.6,Work Ass,423.l.168824.t.14,102.64
1,Sr. Sack Dumping Scum Bags,423.l.168824.t.9,79.22,Sweeney.,423.l.168824.t.11,86.14
2,Cap Stoppers,423.l.168824.t.1,142.02,Gorlock the destroyer Schwartz,423.l.168824.t.2,159.8
2,The Lean Mean Fightin MaSheets,423.l.168824.t.3,104.34,Sr. Sack Dumping Scum Bags,423.l.168824.t.9,145.38
2,Morior Invictus,423.l.168824.t.4,105.0,Sansa Ludacris,423.l.168824.t.12,124.18
2,Willow Street Walruses,423.l.168824.t.5,134.74,Sweeney.,423.l.168824.t.11,116.54
2,Free Paid again..,423.l.168824.t.6,89.2,Tony the phenom,423.l.168824.t.13,63.1
2,Garlic Aioli,423.l.168824.t.7,100.14,Work Ass,423.l.168824.t.14,143.84
2,WHERESTUA,423.l.168824.t.8,85.76,Alexander's Unreal Team,423.l.168824.t.15,123.66
2,🍾💼🥰,423.l.168824.t.10,113.36,Formerly Known as Mousecop,423.l.168824.t.16,116.22
3,Cap Stoppers,423.l.168824.t.1,100.82,Formerly Known as Mousecop,423.l.168824.t.16,98.04
3,Gorlock the destroyer Schwartz,423.l.168824.t.2,124.52,Morior Invictus,423.l.168824.t.4,98.44
3,The Lean Mean Fightin MaSheets,423.l.168824.t.3,93.76,Willow Street Walruses,423.l.168824.t.5,146.12
3,Free Paid again..,423.l.168824.t.6,96.3,Sweeney.,423.l.168824.t.11,91.66
3,Garlic Aioli,423.l.168824.t.7,113.12,Alexander's Unreal Team,423.l.168824.t.15,100.3
3,WHERESTUA,423.l.168824.t.8,103.32,Tony the phenom,423.l.168824.t.13,78.3
