week,team_key,player_key,player_name,display_position,points
1,423.l.168824.t.15,423.p.9265,Matthew Stafford,QB,14.46
1,423.l.168824.t.15,423.p.27535,Mike Evans,WR,15.6
1,423.l.168824.t.15,423.p.32695,Brandon Aiyuk,WR,28.9
1,423.l.168824.t.15,423.p.33508,Rhamondre Stevenson,RB,11.9
1,423.l.168824.t.15,423.p.30218,James Conner,RB,9.5
1,423.l.168824.t.15,423.p.30259,George Kittle,TE,3.4
1,423.l.168824.t.15,423.p.30154,Dalvin Cook,RB,7.4
1,423.l.168824.t.15,423.p.34030,Desmond Ridder,QB,8.4
1,423.l.168824.t.15,423.p.32704,Michael Pittman Jr.,WR,19.7
1,423.l.168824.t.15,423.p.30202,D'Onta Foreman,RB,3.4
1,423.l.168824.t.15,423.p.31833,Kyler Murray,QB,0.0
1,423.l.168824.t.15,423.p.32732,A.J. Dillon,RB,4.6
1,423.l.168824.t.15,423.p.30175,JuJu Smith-Schuster,WR,5.3
1,423.l.168824.t.15,423.p.40064,Sam LaPorta,TE,6.4
1,423.l.168824.t.15,423.p.31137,Daniel Carlson,K,5.0
1,423.l.168824.t.15,423.p.100021,Eagles,DEF,13.0
1,423.l.168824.t.14,423.p.34100,Sam Howell,QB,16.18
1,423.l.168824.t.14,423.p.32703,Tee Higgins,WR,0.0
1,423.l.168824.t.14,423.p.28392,Amari Cooper,WR,5.2
1,423.l.168824.t.14,423.p.30295,Aaron Jones Sr.,RB,25.7
1,423.l.168824.t.14,423.p.34047,Rachaad White,RB,5.9
1,423.l.168824.t.14,423.p.30157,Gerald Everett,TE,3.3
1,423.l.168824.t.14,423.p.30120,Mike Williams,WR,6.5
1,423.l.168824.t.14,423.p.32676,Justin Herbert,QB,20.86
1,423.l.168824.t.14,423.p.30180,Alvin Kamara,RB,0.0
1,423.l.168824.t.14,423.p.33403,Mac Jones,QB,25.14
1,423.l.168824.t.14,423.p.29325,Jacoby Brissett,QB,0.0
1,423.l.168824.t.14,423.p.32736,Antonio Gibson,RB,0.4
1,423.l.168824.t.14,423.p.31394,Jeff Wilson Jr.,RB,0.0
1,423.l.168824.t.14,423.p.32702,Clyde Edwards-Helaire,RB,3.4
1,423.l.168824.t.14,423.p.30346,Harrison Butker,K,8.0
1,423.l.168824.t.14,423.p.100028,Commanders,DEF,11.0
1,423.l.168824.t.9,423.p.30977,Josh Allen,QB,12.04
1,423.l.168824.t.9,423.p.27581,Davante Adams,WR,9.6
1,423.l.168824.t.9,423.p.27277,Adam Thielen,WR,2.2
1,423.l.168824.t.9,423.p.30121,Christian McCaffrey,RB,24.4
1,423.l.168824.t.9,423.p.34019,James Cook III,RB,8.3
1,423.l.168824.t.9,423.p.29344,Tyler Higbee,TE,6.4
1,423.l.168824.t.9,423.p.34447,Jaylen Warren,RB,4.3
1,423.l.168824.t.9,423.p.30248,Joshua Dobbs,QB,0.98
1,423.l.168824.t.9,423.p.32231,Jakobi Meyers,WR,24.6
1,423.l.168824.t.9,423.p.32843,Darnell Mooney,WR,13.3
1,423.l.168824.t.9,423.p.34659,Rashid Shaheed,WR,16.5
1,423.l.168824.t.9,423.p.31928,Dawson Knox,TE,4.0
1,423.l.168824.t.9,423.p.34120,Kyren Williams,RB,17.4
1,423.l.168824.t.9,423.p.9526,Graham Gano,K,0.0
1,423.l.168824.t.9,423.p.100033,Ravens,DEF,11.0
1,423.l.168824.t.9,423.p.100009,Packers,DEF,15.0
1,423.l.168824.t.2,423.p.32723,Jalen Hurts,QB,12.5
1,423.l.168824.t.2,423.p.32687,CeeDee Lamb,WR,9.7
1,423.l.168824.t.2,423.p.30197,Chris Godwin Jr.,WR,7.6
1,423.l.168824.t.2,423.p.31960,Tony Pollard,RB,21.2
1,423.l.168824.t.2,423.p.33996,Kenneth Walker III,RB,8.7
1,423.l.168824.t.2,423.p.31840,T.J. Hockenson,TE,7.5
1,423.l.168824.t.2,423.p.40042,Jordan Addison,WR,14.1
1,423.l.168824.t.2,423.p.30971,Baker Mayfield,QB,16.02
1,423.l.168824.t.2,423.p.30614,Taysom Hill,TE,0.4
