team_key,team_name,team_id,wins,losses,ties,points_for,points_against,rank
461.l.721870.t.14,Work Ass,14,0,0,0,0.0,0.0,0
461.l.721870.t.8,The Art of the Deal,8,0,0,0,0.0,0.0,0
461.l.721870.t.3,The Jackson Brownes,3,0,0,0,0.0,0.0,0
461.l.721870.t.12,Ginny Sack,12,0,0,0,0.0,0.0,0
461.l.721870.t.5,Sweeney Deez and Zaukas,5,0,0,0,0.0,0.0,0
461.l.721870.t.6,Scampi,6,0,0,0,0.0,0.0,0
461.l.721870.t.15,Pigs on the 7th Rank,15,0,0,0,0.0,0.0,0
461.l.721870.t.4,Team OBAMA SOPRANOS,4,0,0,0,0.0,0.0,0
461.l.721870.t.10,🍾💼🥰,10,0,0,0,0.0,0.0,0
461.l.721870.t.16,Team Daniel,16,0,0,0,0.0,0.0,0
461.l.721870.t.1,Cookie Monster Golf Cart,1,0,0,0,0.0,0.0,0
461.l.721870.t.7,Stewed C,7,0,0,0,0.0,0.0,0
461.l.721870.t.11,Sweeney.,11,0,0,0,0.0,0.0,0
461.l.721870.t.13,Life with Derrick,13,0,0,0,0.0,0.0,0
461.l.721870.t.2,Gorlock the destroyer Schwartz,2,0,0,0,0.0,0.0,0
461.l.721870.t.9,Senior AI Coke Twins,9,0,0,0,0.0,0.0,0
