week,team_1,team_1_key,team_1_points,team_2,team_2_key,team_2_points
6,Gorlock the destroyer Schwartz,461.l.721870.t.2,63.26,Sweeney Deez and Zaukas,461.l.721870.t.5,101.98
6,The Jackson Brownes,461.l.721870.t.3,100.9,Team Daniel,461.l.721870.t.16,103.42
6,Team OBAMA SOPRANOS,461.l.721870.t.4,101.44,Senior AI Coke Twins,461.l.721870.t.9,97.2
6,Scampi,461.l.721870.t.6,120.0,Sweeney.,461.l.721870.t.11,80.04
6,Stewed C,461.l.721870.t.7,97.36,Ginny Sack,461.l.721870.t.12,126.2
6,The Art of the Deal,461.l.721870.t.8,115.56,Work Ass,461.l.721870.t.14,99.38
6,🍾💼🥰,461.l.721870.t.10,106.0,Pigs on the 7th Rank,461.l.721870.t.15,132.58
7,Cookie Monster Golf Cart,461.l.721870.t.1,150.04,Ginny Sack,461.l.721870.t.12,102.12
7,Gorlock the destroyer Schwartz,461.l.721870.t.2,92.4,The Art of the Deal,461.l.721870.t.8,97.2
7,The Jackson Brownes,461.l.721870.t.3,115.64,Team OBAMA SOPRANOS,461.l.721870.t.4,82.54
7,Sweeney Deez and Zaukas,461.l.721870.t.5,144.94,Senior AI Coke Twins,461.l.721870.t.9,83.46
7,Scampi,461.l.721870.t.6,136.12,Team Daniel,461.l.721870.t.16,113.96
7,Stewed C,461.l.721870.t.7,130.32,Sweeney.,461.l.721870.t.11,128.88
7,🍾💼🥰,461.l.721870.t.10,79.96,Work Ass,461.l.721870.t.14,146.6
7,Life with Derrick,461.l.721870.t.13,101.08,Pigs on the 7th Rank,461.l.721870.t.15,117.72
8,Cookie Monster Golf Cart,461.l.721870.t.1,84.8,Stewed C,461.l.721870.t.7,86.26
8,Gorlock the destroyer Schwartz,461.l.721870.t.2,96.86,🍾💼🥰,461.l.721870.t.10,82.44
8,The Jackson Brownes,461.l.721870.t.3,96.62,Sweeney Deez and Zaukas,461.l.721870.t.5,132.2
8,Team OBAMA SOPRANOS,461.l.721870.t.4,90.64,Scampi,461.l.721870.t.6,150.34
8,The Art of the Deal,461.l.721870.t.8,146.44,Senior AI Coke Twins,461.l.721870.t.9,133.26
8,Sweeney.,461.l.721870.t.11,64.16,Team Daniel,461.l.721870.t.16,134.62
8,Ginny Sack,461.l.721870.t.12,90.56,Pigs on the 7th Rank,461.l.721870.t.15,132.16
8,Life with Derrick,461.l.721870.t.13,119.72,Work Ass,461.l.721870.t.14,119.38
9,Cookie Monster Golf Cart,461.l.721870.t.1,142.54,Sweeney.,461.l.721870.t.11,146.36
9,Gorlock the destroyer Schwartz,461.l.721870.t.2,94.72,Life with Derrick,461.l.721870.t.13,109.44
9,The Jackson Brownes,461.l.721870.t.3,117.46,The Art of the Deal,461.l.721870.t.8,99.24
9,Team OBAMA SOPRANOS,461.l.721870.t.4,76.66,Team Daniel,461.l.721870.t.16,108.78
9,Sweeney Deez and Zaukas,461.l.721870.t.5,102.16,Scampi,461.l.721870.t.6,146.1
9,Stewed C,461.l.721870.t.7,110.94,Pigs on the 7th Rank,461.l.721870.t.15,128.3
9,Senior AI Coke Twins,461.l.721870.t.9,76.82,🍾💼🥰,461.l.721870.t.10,102.66
9,Ginny Sack,461.l.721870.t.12,160.94,Work Ass,461.l.721870.t.14,95.02
10,Cookie Monster Golf Cart,461.l.721870.t.1,170.0,Pigs on the 7th Rank,461.l.721870.t.15,115.62
10,Gorlock the destroyer Schwartz,461.l.721870.t.2,88.6,Ginny Sack,461.l.721870.t.12,111.68
10,The Jackson Brownes,461.l.721870.t.3,107.42,🍾💼🥰,461.l.721870.t.10,145.98
10,Team OBAMA SOPRANOS,461.l.721870.t.4,97.32,Sweeney.,461.l.721870.t.11,91.62
10,Sweeney Deez and Zaukas,461.l.721870.t.5,120.56,Team Daniel,461.l.721870.t.16,86.8
10,Scampi,461.l.721870.t.6,156.94,The Art of the Deal,461.l.721870.t.8,113.92
10,Stewed C,461.l.721870.t.7,100.42,Work Ass,461.l.721870.t.14,137.12
10,Senior AI Coke Twins,461.l.721870.t.9,68.34,Life with Derrick,461.l.721870.t.13,78.96
11,Cookie Monster Golf Cart,461.l.721870.t.1,99.08,Work Ass,461.l.721870.t.14,106.52
11,Gorlock the destroyer Schwartz,461.l.721870.t.2,96.4,Stewed C,461.l.721870.t.7,100.8
11,The Jackson Brownes,461.l.721870.t.3,129.68,Life with Derrick,461.l.721870.t.13,96.52
11,Team OBAMA SOPRANOS,461.l.721870.t.4,87.04,Sweeney Deez and Zaukas,461.l.721870.t.5,78.66
11,Scampi,461.l.721870.t.6,124.58,🍾💼🥰,461.l.721870.t.10,116.66
11,The Art of the Deal,461.l.721870.t.8,79.04,Team Daniel,461.l.721870.t.16,69.12
11,Senior AI Coke Twins,461.l.721870.t.9,101.34,Ginny Sack,461.l.721870.t.12,137.0
11,Sweeney.,461.l.721870.t.11,140.08,Pigs on the 7th Rank,461.l.721870.t.15,102.22
12,Cookie Monster Golf Cart,461.l.721870.t.1,98.06,Gorlock the destroyer Schwartz,461.l.721870.t.2,121.34
12,The Jackson Brownes,461.l.721870.t.3,101.32,Ginny Sack,461.l.721870.t.12,111.28
12,Team OBAMA SOPRANOS,461.l.721870.t.4,73.92,The Art of the Deal,461.l.721870.t.8,79.68
12,Sweeney Deez and Zaukas,461.l.721870.t.5,128.52,Sweeney.,461.l.721870.t.11,115.74
12,Scampi,461.l.721870.t.6,119.22,Life with Derrick,461.l.721870.t.13,71.56
12,Stewed C,461.l.721870.t.7,137.58,Senior AI Coke Twins,461.l.721870.t.9,78.22
12,🍾💼🥰,461.l.721870.t.10,125.58,Team Daniel,461.l.721870.t.16,115.8
12,Work Ass,461.l.721870.t.14,112.74,Pigs on the 7th Rank,461.l.721870.t.15,133.86
13,Cookie Monster Golf Cart,461.l.721870.t.1,103.32,Senior AI Coke Twins,461.l.721870.t.9,79.72
13,Gorlock the destroyer Schwartz,461.l.721870.t.2,97.64,Pigs on the 7th Rank,461.l.721870.t.15,119.08
13,The Jackson Brownes,461.l.721870.t.3,118.86,Stewed C,461.l.721870.t.7,90.92
13,Team OBAMA SOPRANOS,461.l.721870.t.4,102.88,🍾💼🥰,461.l.721870.t.10,96.04
13,Sweeney Deez and Zaukas,461.l.721870.t.5,114.38,The Art of the Deal,461.l.721870.t.8,109.32
13,Scampi,461.l.721870.t.6,175.58,Ginny Sack,461.l.721870.t.12,118.52
13,Sweeney.,461.l.721870.t.11,104.04,Work Ass,461.l.721870.t.14,116.4
13,Life with Derrick,461.l.721870.t.13,96.18,Team Daniel,461.l.721870.t.16,72.3
14,Cookie Monster Golf Cart,461.l.721870.t.1,94.88,The Jackson Brownes,461.l.721870.t.3,126.24
14,Gorlock the destroyer Schwartz,461.l.721870.t.2,95.0,Work Ass,461.l.721870.t.14,157.44
14,Team OBAMA SOPRANOS,461.l.721870.t.4,121.02,Life with Derrick,461.l.721870.t.13,73.22
14,Sweeney Deez and Zaukas,461.l.721870.t.5,117.34,🍾💼🥰,461.l.721870.t.10,114.16
14,Scampi,461.l.721870.t.6,106.24,Stewed C,461.l.721870.t.7,104.64
14,The Art of the Deal,461.l.721870.t.8,88.54,Sweeney.,461.l.721870.t.11,120.32
14,Senior AI Coke Twins,461.l.721870.t.9,59.0,Pigs on the 7th Rank,461.l.721870.t.15,103.54
14,Ginny Sack,461.l.721870.t.12,155.52,Team Daniel,461.l.721870.t.16,87.22
15,The Jackson Brownes,461.l.721870.t.3,121.12,Pigs on the 7th Rank,461.l.721870.t.15,84.32
15,Team OBAMA SOPRANOS,461.l.721870.t.4,70.8,Ginny Sack,461.l.721870.t.12,119.16
15,Sweeney Deez and Zaukas,461.l.721870.t.5,113.96,The Art of the Deal,461.l.721870.t.8,130.6
15,Scampi,461.l.721870.t.6,114.88,Work Ass,461.l.721870.t.14,184.68
16,The Jackson Brownes,461.l.721870.t.3,96.0,The Art of the Deal,461.l.721870.t.8,110.72
16,Team OBAMA SOPRANOS,461.l.721870.t.4,67.9,Scampi,461.l.721870.t.6,129.5
16,Sweeney Deez and Zaukas,461.l.721870.t.5,112.16,Pigs on the 7th Rank,461.l.721870.t.15,87.72
16,Ginny Sack,461.l.721870.t.12,129.4,Work Ass,461.l.721870.t.14,161.74
