week,team_1,team_1_key,team_1_points,team_2,team_2_key,team_2_points
1,Cookie Monster Golf Cart,461.l.721870.t.1,108.18,Team Daniel,461.l.721870.t.16,112.1
1,Gorlock the destroyer Schwartz,461.l.721870.t.2,106.74,Senior AI Coke Twins,461.l.721870.t.9,96.24
1,The Jackson Brownes,461.l.721870.t.3,148.38,Work Ass,461.l.721870.t.14,108.06
1,Team OBAMA SOPRANOS,461.l.721870.t.4,132.28,Stewed C,461.l.721870.t.7,124.08
1,Sweeney Deez and Zaukas,461.l.721870.t.5,87.8,Ginny Sack,461.l.721870.t.12,114.72
1,Scampi,461.l.721870.t.6,86.0,Pigs on the 7th Rank,461.l.721870.t.15,112.82
1,The Art of the Deal,461.l.721870.t.8,114.88,Life with Derrick,461.l.721870.t.13,106.18
1,🍾💼🥰,461.l.721870.t.10,71.42,Sweeney.,461.l.721870.t.11,70.76
2,Cookie Monster Golf Cart,461.l.721870.t.1,97.36,Team OBAMA SOPRANOS,461.l.721870.t.4,107.14
2,Gorlock the destroyer Schwartz,461.l.721870.t.2,92.36,The Jackson Brownes,461.l.721870.t.3,113.32
2,Sweeney Deez and Zaukas,461.l.721870.t.5,132.34,Stewed C,461.l.721870.t.7,92.46
2,Scampi,461.l.721870.t.6,152.4,Work Ass,461.l.721870.t.14,117.68
2,The Art of the Deal,461.l.721870.t.8,117.7,Ginny Sack,461.l.721870.t.12,90.5
2,Senior AI Coke Twins,461.l.721870.t.9,93.92,Sweeney.,461.l.721870.t.11,117.3
2,🍾💼🥰,461.l.721870.t.10,158.06,Life with Derrick,461.l.721870.t.13,92.4
2,Pigs on the 7th Rank,461.l.721870.t.15,123.56,Team Daniel,461.l.721870.t.16,100.04
3,Cookie Monster Golf Cart,461.l.721870.t.1,85.6,Sweeney Deez and Zaukas,461.l.721870.t.5,103.36
3,Gorlock the destroyer Schwartz,461.l.721870.t.2,68.7,Scampi,461.l.721870.t.6,161.8
3,The Jackson Brownes,461.l.721870.t.3,142.7,Senior AI Coke Twins,461.l.721870.t.9,84.26
3,Team OBAMA SOPRANOS,461.l.721870.t.4,104.62,Pigs on the 7th Rank,461.l.721870.t.15,96.58
3,Stewed C,461.l.721870.t.7,152.08,The Art of the Deal,461.l.721870.t.8,100.24
3,🍾💼🥰,461.l.721870.t.10,75.08,Ginny Sack,461.l.721870.t.12,109.78
3,Sweeney.,461.l.721870.t.11,122.72,Life with Derrick,461.l.721870.t.13,97.6
3,Work Ass,461.l.721870.t.14,105.2,Team Daniel,461.l.721870.t.16,128.52
4,Cookie Monster Golf Cart,461.l.721870.t.1,140.5,The Art of the Deal,461.l.721870.t.8,169.7
4,Gorlock the destroyer Schwartz,461.l.721870.t.2,154.92,Team Daniel,461.l.721870.t.16,114.88
4,The Jackson Brownes,461.l.721870.t.3,140.98,Sweeney.,461.l.721870.t.11,109.2
4,Team OBAMA SOPRANOS,461.l.721870.t.4,100.48,Work Ass,461.l.721870.t.14,122.0
4,Sweeney Deez and Zaukas,461.l.721870.t.5,124.18,Pigs on the 7th Rank,461.l.721870.t.15,107.48
4,Scampi,461.l.721870.t.6,114.72,Senior AI Coke Twins,461.l.721870.t.9,67.3
4,Stewed C,461.l.721870.t.7,117.4,🍾💼🥰,461.l.721870.t.10,120.66
4,Ginny Sack,461.l.721870.t.12,160.4,Life with Derrick,461.l.721870.t.13,132.62
5,Cookie Monster Golf Cart,461.l.721870.t.1,148.04,🍾💼🥰,461.l.721870.t.10,97.72
5,Gorlock the destroyer Schwartz,461.l.721870.t.2,82.22,Team OBAMA SOPRANOS,461.l.721870.t.4,94.94
5,The Jackson Brownes,461.l.721870.t.3,60.72,Scampi,461.l.721870.t.6,110.04
5,Sweeney Deez and Zaukas,461.l.721870.t.5,129.7,Work Ass,461.l.721870.t.14,167.42
5,Stewed C,461.l.721870.t.7,131.88,Life with Derrick,461.l.721870.t.13,144.58
5,The Art of the Deal,461.l.721870.t.8,156.38,Pigs on the 7th Rank,461.l.721870.t.15,109.92
5,Senior AI Coke Twins,461.l.721870.t.9,29.1,Team Daniel,461.l.721870.t.16,107.92
5,Sweeney.,461.l.721870.t.11,98.72,Ginny Sack,461.l.721870.t.12,125.74
6,Cookie Monster Golf Cart,461.l.721870.t.1,142.24,Life with Derrick,461.l.721870.t.13,82.06
