week,team_key,player_key,player_name,display_position,points
1,461.l.721870.t.14,461.p.40875,Bo Nix,QB,8.84
1,461.l.721870.t.14,461.p.40041,Jaxon Smith-Njigba,WR,14.9
1,461.l.721870.t.14,461.p.40892,Ricky Pearsall,WR,12.8
1,461.l.721870.t.14,461.p.40196,Chase Brown,RB,12.1
1,461.l.721870.t.14,461.p.34112,Jerome Ford,RB,1.0
1,461.l.721870.t.14,461.p.30259,George Kittle,TE,10.5
1,461.l.721870.t.14,461.p.41804,Emeka Egbuka,WR,21.6
1,461.l.721870.t.14,461.p.33389,Trevor Lawrence,QB,11.32
1,461.l.721870.t.14,461.p.40901,Rome Odunze,WR,12.7
1,461.l.721870.t.14,461.p.42010,Jacory Croskey-Merritt,RB,14.2
1,461.l.721870.t.14,461.p.40962,Blake Corum,RB,2.1
1,461.l.721870.t.14,461.p.40095,Tank Bigsby,RB,1.2
1,461.l.721870.t.14,461.p.41922,Cam Skattebo,RB,1.9
1,461.l.721870.t.14,461.p.34107,Tyler Allgeier,RB,2.4
1,461.l.721870.t.14,461.p.40819,Brandon Aubrey,K,11.0
1,461.l.721870.t.14,461.p.100023,Steelers,DEF,4.0
1,461.l.721870.t.8,461.p.32675,Tua Tagovailoa,QB,7.26
1,461.l.721870.t.8,461.p.34007,George Pickens,WR,4.5
1,461.l.721870.t.8,461.p.32685,Jerry Jeudy,WR,9.1
1,461.l.721870.t.8,461.p.31856,Josh Jacobs,RB,13.5
1,461.l.721870.t.8,461.p.33991,Breece Hall,RB,15.5
1,461.l.721870.t.8,461.p.30213,Jonnu Smith,TE,10.0
1,461.l.721870.t.8,461.p.31868,Deebo Samuel,WR,19.1
1,461.l.721870.t.8,461.p.32676,Justin Herbert,QB,27.92
1,461.l.721870.t.8,461.p.28592,Darren Waller,TE,0.0
1,461.l.721870.t.8,461.p.33423,Javonte Williams,RB,19.4
1,461.l.721870.t.8,461.p.40905,J.J. McCarthy,QB,22.22
1,461.l.721870.t.8,461.p.32695,Brandon Aiyuk,WR,0.0
1,461.l.721870.t.8,461.p.31005,Nick Chubb,RB,6.0
1,461.l.721870.t.8,461.p.41969,Ollie Gordon II,RB,0.8
1,461.l.721870.t.8,461.p.40835,Jake Bates,K,7.0
1,461.l.721870.t.8,461.p.100015,Dolphins,DEF,1.0
1,461.l.721870.t.3,461.p.30977,Josh Allen,QB,38.76
1,461.l.721870.t.3,461.p.32887,Jauan Jennings,WR,2.6
1,461.l.721870.t.3,461.p.34104,Khalil Shakir,WR,9.4
1,461.l.721870.t.3,461.p.40055,Bijan Robinson,RB,21.4
1,461.l.721870.t.3,461.p.40993,Bucky Irving,RB,12.5
1,461.l.721870.t.3,461.p.34099,Chig Okonkwo,TE,3.4
1,461.l.721870.t.3,461.p.26699,Keenan Allen,WR,16.3
1,461.l.721870.t.3,461.p.40889,Michael Penix Jr.,QB,24.02
1,461.l.721870.t.3,461.p.40890,Xavier Legette,WR,2.5
1,461.l.721870.t.3,461.p.41904,Elic Ayomanor,WR,2.3
1,461.l.721870.t.3,461.p.41865,Isaac TeSlaa,WR,7.8
1,461.l.721870.t.3,461.p.41919,Jarquez Hunter,RB,0.0
1,461.l.721870.t.3,461.p.41983,Tahj Brooks,RB,0.0
1,461.l.721870.t.3,461.p.40915,Adonai Mitchell,WR,3.1
1,461.l.721870.t.3,461.p.41093,Will Reichard,K,9.0
1,461.l.721870.t.3,461.p.100028,Commanders,DEF,11.0
1,461.l.721870.t.12,461.p.31833,Kyler Murray,QB,18.32
1,461.l.721870.t.12,461.p.33963,Drake London,WR,9.5
1,461.l.721870.t.12,461.p.41793,Tetairoa McMillan,WR,9.3
1,461.l.721870.t.12,461.p.30121,Christian McCaffrey,RB,18.7
1,461.l.721870.t.12,461.p.34120,Kyren Williams,RB,13.4
1,461.l.721870.t.12,461.p.40878,Brock Bowers,TE,12.8
