pick,round,player_name,team_name,cost,player_key,team_key
1,1,Saquon Barkley,Senior AI Coke Twins,59,461.p.30972,461.l.721870.t.9
2,1,Russell Wilson,🍾💼🥰,15,461.p.25785,461.l.721870.t.10
3,1,Jahmyr Gibbs,Team Daniel,51,461.p.40059,461.l.721870.t.16
4,1,Trey McBride,Sweeney.,24,461.p.34010,461.l.721870.t.11
5,1,Malik Nabers,🍾💼🥰,45,461.p.40899,461.l.721870.t.10
6,1,Ja'Marr Chase,Sweeney Deez and Zaukas,55,461.p.33393,461.l.721870.t.5
7,1,Derrick Henry,Stewed C,45,461.p.29279,461.l.721870.t.7
8,1,A.J. Brown,Scampi,33,461.p.31883,461.l.721870.t.6
9,1,CeeDee Lamb,Gorlock the destroyer Schwartz,48,461.p.32687,461.l.721870.t.2
10,1,Tua Tagovailoa,The Art of the Deal,38,461.p.32675,461.l.721870.t.8
11,1,Justin Jefferson,Life with Derrick,47,461.p.32692,461.l.721870.t.13
12,1,Christian McCaffrey,Ginny Sack,44,461.p.30121,461.l.721870.t.12
13,1,Kenneth Walker III,Senior AI Coke Twins,28,461.p.33996,461.l.721870.t.9
14,1,Josh Allen,The Jackson Brownes,70,461.p.30977,461.l.721870.t.3
15,1,Brian Thomas Jr.,Team Daniel,35,461.p.40883,461.l.721870.t.16
16,1,Hunter Henry,Gorlock the destroyer Schwartz,2,461.p.29269,461.l.721870.t.2
17,2,Bijan Robinson,The Jackson Brownes,50,461.p.40055,461.l.721870.t.3
18,2,Lamar Jackson,Team OBAMA SOPRANOS,66,461.p.31002,461.l.721870.t.4
19,2,Ashton Jeanty,Cookie Monster Golf Cart,44,461.p.41791,461.l.721870.t.1
20,2,De'Von Achane,Cookie Monster Golf Cart,36,461.p.40118,461.l.721870.t.1
21,2,Jalen Hurts,Stewed C,68,461.p.32723,461.l.721870.t.7
22,2,Nico Collins,Sweeney.,37,461.p.33477,461.l.721870.t.11
23,2,Josh Jacobs,The Art of the Deal,38,461.p.31856,461.l.721870.t.8
24,2,Caleb Williams,Pigs on the 7th Rank,45,461.p.40900,461.l.721870.t.15
25,2,Puka Nacua,Sweeney.,34,461.p.40168,461.l.721870.t.11
26,2,Jayden Daniels,Team Daniel,66,461.p.40896,461.l.721870.t.16
27,2,Amon-Ra St. Brown,Gorlock the destroyer Schwartz,42,461.p.33500,461.l.721870.t.2
28,2,Tyreek Hill,Pigs on the 7th Rank,26,461.p.29399,461.l.721870.t.15
29,2,Joe Burrow,Team OBAMA SOPRANOS,59,461.p.32671,461.l.721870.t.4
30,2,Drake London,Ginny Sack,34,461.p.33963,461.l.721870.t.12
31,2,Aaron Rodgers,Senior AI Coke Twins,30,461.p.7200,461.l.721870.t.9
32,2,Darnell Mooney,Pigs on the 7th Rank,5,461.p.32843,461.l.721870.t.15
33,3,Bucky Irving,The Jackson Brownes,36,461.p.40993,461.l.721870.t.3
34,3,Drake Maye,Sweeney Deez and Zaukas,45,461.p.40881,461.l.721870.t.5
35,3,DK Metcalf,🍾💼🥰,18,461.p.31896,461.l.721870.t.10
36,3,Chase Brown,Work Ass,36,461.p.40196,461.l.721870.t.14
37,3,Brock Purdy,Senior AI Coke Twins,47,461.p.34218,461.l.721870.t.9
38,3,Ladd McConkey,Cookie Monster Golf Cart,29,461.p.40908,461.l.721870.t.1
39,3,Daniel Jones,Team Daniel,21,461.p.31838,461.l.721870.t.16
40,3,Geno Smith,Sweeney.,37,461.p.26662,461.l.721870.t.11
41,3,Jonathan Taylor,Scampi,34,461.p.32711,461.l.721870.t.6
42,3,Patrick Mahomes,Pigs on the 7th Rank,51,461.p.30123,461.l.721870.t.15
43,3,Kyren Williams,Ginny Sack,26,461.p.34120,461.l.721870.t.12
44,3,Jaxon Smith-Njigba,Work Ass,19,461.p.40041,461.l.721870.t.14
45,3,Mike Evans,Senior AI Coke Twins,21,461.p.27535,461.l.721870.t.9
46,3,Dak Prescott,Sweeney Deez and Zaukas,56,461.p.29369,461.l.721870.t.5
47,3,DeVonta Smith,Stewed C,16,461.p.33398,461.l.721870.t.7
48,3,Bo Nix,Work Ass,46,461.p.40875,461.l.721870.t.14
49,4,Garrett Wilson,Stewed C,17,461.p.33965,461.l.721870.t.7
50,4,Brock Bowers,Ginny Sack,26,461.p.40878,461.l.721870.t.12
51,4,James Cook III,Scampi,30,461.p.34019,461.l.721870.t.6
52,4,Marvin Harrison Jr.,Life with Derrick,17,461.p.40893,461.l.721870.t.13
53,4,James Conner,Pigs on the 7th Rank,22,461.p.30218,461.l.721870.t.15
54,4,Tee Higgins,Sweeney.,21,461.p.32703,461.l.721870.t.11
55,4,Terry McLaurin,Pigs on the 7th Rank,17,461.p.31908,461.l.721870.t.15
56,4,George Kittle,Work Ass,15,461.p.30259,461.l.721870.t.14
57,4,Omarion Hampton,Life with Derrick,24,461.p.41807,461.l.721870.t.13
58,4,Baker Mayfield,Cookie Monster Golf Cart,50,461.p.30971,461.l.721870.t.1
59,4,TreVeyon Henderson,🍾💼🥰,22,461.p.41823,461.l.721870.t.10
60,4,Davante Adams,Scampi,15,461.p.27581,461.l.721870.t.6
61,4,Tetairoa McMillan,Ginny Sack,11,461.p.41793,461.l.721870.t.12
62,4,Jared Goff,🍾💼🥰,45,461.p.29235,461.l.721870.t.10
63,4,RJ Harvey,Pigs on the 7th Rank,14,461.p.41845,461.l.721870.t.15
64,4,Jaxson Dart,Cookie Monster Golf Cart,11,461.p.41810,461.l.721870.t.1
65,5,Jordan Love,Gorlock the destroyer Schwartz,46,461.p.32696,461.l.721870.t.2
66,5,Anthony Richardson Sr.,Scampi,13,461.p.40040,461.l.721870.t.6
67,5,C.J. Stroud,Life with Derrick,40,461.p.40030,461.l.721870.t.13
68,5,Breece Hall,The Art of the Deal,19,461.p.33991,461.l.721870.t.8
69,5,Jameson Williams,Scampi,9,461.p.33967,461.l.721870.t.6
70,5,Chuba Hubbard,Team OBAMA SOPRANOS,16,461.p.33514,461.l.721870.t.4
71,5,Sam Darnold,Scampi,29,461.p.30973,461.l.721870.t.6
72,5,Cam Ward,Sweeney.,34,461.p.41786,461.l.721870.t.11
73,5,Alvin Kamara,Life with Derrick,20,461.p.30180,461.l.721870.t.13
74,5,Trevor Lawrence,Work Ass,33,461.p.33389,461.l.721870.t.14
75,5,Jaylen Waddle,Pigs on the 7th Rank,10,461.p.33394,461.l.721870.t.15
76,5,George Pickens,The Art of the Deal,12,461.p.34007,461.l.721870.t.8
77,5,Cooper Kupp,Team OBAMA SOPRANOS,8,461.p.30182,461.l.721870.t.4
78,5,Tony Pollard,Sweeney Deez and Zaukas,14,461.p.31960,461.l.721870.t.5
79,5,Calvin Ridley,🍾💼🥰,10,461.p.30996,461.l.721870.t.10
80,5,Spencer Rattler,🍾💼🥰,9,461.p.41043,461.l.721870.t.10
81,6,DJ Moore,Team Daniel,9,461.p.30994,461.l.721870.t.16
82,6,Jacory Croskey-Merritt,Work Ass,10,461.p.42010,461.l.721870.t.14
83,6,D'Andre Swift,Life with Derrick,8,461.p.32705,461.l.721870.t.13
84,6,Rashee Rice,🍾💼🥰,5,461.p.40084,461.l.721870.t.10
85,6,Tyrone Tracy Jr.,Ginny Sack,9,461.p.41048,461.l.721870.t.12
86,6,Matthew Stafford,Stewed C,24,461.p.9265,461.l.721870.t.7
87,6,Justin Fields,Gorlock the destroyer Schwartz,29,461.p.33399,461.l.721870.t.2
88,6,Michael Penix Jr.,The Jackson Brownes,28,461.p.40889,461.l.721870.t.3
89,6,Sam LaPorta,🍾💼🥰,8,461.p.40064,461.l.721870.t.10
90,6,Kyler Murray,Ginny Sack,32,461.p.31833,461.l.721870.t.12
91,6,Travis Hunter,Team OBAMA SOPRANOS,7,461.p.99001,461.l.721870.t.4
92,6,Austin Ekeler,Team Daniel,5,461.p.30423,461.l.721870.t.16
93,6,Courtland Sutton,Life with Derrick,6,461.p.31010,461.l.721870.t.13
94,6,Justin Herbert,The Art of the Deal,29,461.p.32676,461.l.721870.t.8
95,6,Isiah Pacheco,Gorlock the destroyer Schwartz,17,461.p.34207,461.l.721870.t.2
96,6,Kirk Cousins,Scampi,3,461.p.25812,461.l.721870.t.6
97,7,Zay Flowers,Team OBAMA SOPRANOS,8,461.p.40039,461.l.721870.t.4
98,7,Blake Corum,Work Ass,3,461.p.40962,461.l.721870.t.14
99,7,T.J. Hockenson,Life with Derrick,6,461.p.31840,461.l.721870.t.13
100,7,Ricky Pearsall,Work Ass,3,461.p.40892,461.l.721870.t.14
101,7,Joe Flacco,Cookie Monster Golf Cart,6,461.p.8795,461.l.721870.t.1
102,7,J.J. McCarthy,The Art of the Deal,28,461.p.40905,461.l.721870.t.8
103,7,Jordan Mason,Team OBAMA SOPRANOS,5,461.p.34320,461.l.721870.t.4
104,7,David Montgomery,Stewed C,18,461.p.31905,461.l.721870.t.7
105,7,Mark Andrews,Scampi,6,461.p.31056,461.l.721870.t.6
106,7,Bryce Young,Life with Derrick,22,461.p.40029,461.l.721870.t.13
107,7,Xavier Worthy,Team OBAMA SOPRANOS,6,461.p.40877,461.l.721870.t.4
108,7,Rome Odunze,Work Ass,5,461.p.40901,461.l.721870.t.14
109,7,Travis Kelce,Scampi,9,461.p.26686,461.l.721870.t.6
110,7,Braelon Allen,Team OBAMA SOPRANOS,5,461.p.40981,461.l.721870.t.4
111,7,Tucker Kraft,Senior AI Coke Twins,4,461.p.40102,461.l.721870.t.9
112,7,Stefon Diggs,Cookie Monster Golf Cart,7,461.p.28534,461.l.721870.t.1
113,8,Chris Olave,Cookie Monster Golf Cart,6,461.p.33966,461.l.721870.t.1
114,8,Will Shipley,Sweeney Deez and Zaukas,1,461.p.41002,461.l.721870.t.5
115,8,Aaron Jones Sr.,Gorlock the destroyer Schwartz,7,461.p.30295,461.l.721870.t.2
116,8,Emeka Egbuka,Work Ass,10,461.p.41804,461.l.721870.t.14
117,8,Jerry Jeudy,The Art of the Deal,3,461.p.32685,461.l.721870.t.8
118,8,Kaleb Johnson,🍾💼🥰,5,461.p.41881,461.l.721870.t.10
119,8,Jaylen Warren,Scampi,8,461.p.34447,461.l.721870.t.6
120,8,Travis Etienne Jr.,🍾💼🥰,8,461.p.33413,461.l.721870.t.10
121,8,Evan Engram,Sweeney Deez and Zaukas,3,461.p.30136,461.l.721870.t.5
122,8,Zach Charbonnet,Sweeney Deez and Zaukas,6,461.p.40075,461.l.721870.t.5
123,8,J.K. Dobbins,Sweeney Deez and Zaukas,7,461.p.32725,461.l.721870.t.5
