team_key,team_name,team_id,wins,losses,ties,points_for,points_against,rank
470.l.165433.t.15,Hello Darkness My Old Friend,15,2,0,0,297.66,255.62,1
470.l.165433.t.3,Nick Wright Barely Legal,3,2,0,0,296.68,227.56,2
470.l.165433.t.1,Boone,1,2,0,0,279.0,128.56,3
470.l.165433.t.10,Healthy as a Fucking Rhino,10,2,0,0,262.54,206.72,4
470.l.165433.t.8,Pelosis Powder,8,2,0,0,221.58,187.72,5
470.l.165433.t.2,Shough and F#ck,2,1,1,0,248.02,213.06,6
470.l.165433.t.14,Pigs on the 7th Rank,14,1,1,0,224.2,237.38,7
470.l.165433.t.9,🍾💼🥰,9,1,1,0,209.16,218.66,8
470.l.165433.t.11,Ginny Sack,11,1,1,0,200.32,191.76,9
470.l.165433.t.5,Free Paid,5,1,1,0,192.48,195.64,10
470.l.165433.t.7,The Art of the Deal,7,1,1,0,176.78,200.5,11
470.l.165433.t.12,Phenom,12,0,2,0,231.7,274.24,12
470.l.165433.t.4,Charles Dickens,4,0,2,0,218.3,258.84000000000003,13
470.l.165433.t.13,Work Ass,13,0,2,0,173.78,314.88,14
470.l.165433.t.6,Stewed C,6,0,2,0,173.18,240.3,15
470.l.165433.t.16,Tuanigamanuolepola Donny,16,0,2,0,155.44,209.38,16
