pick,round,player_name,team_name,cost,player_key,team_key
1,1,Cam Skattebo,Ginny Sack,20,470.p.41922,470.l.165433.t.11
2,1,Josh Allen,Nick Wright Barely Legal,65,470.p.30977,470.l.165433.t.3
3,1,Colston Loveland,Tuanigamanuolepola Donny,17,470.p.41795,470.l.165433.t.16
4,1,Jahmyr Gibbs,Shough and F#ck,54,470.p.40059,470.l.165433.t.2
5,1,Bijan Robinson,Phenom,52,470.p.40055,470.l.165433.t.12
6,1,Keaton Mitchell,Stewed C,4,470.p.40641,470.l.165433.t.6
7,1,Ladd McConkey,Tuanigamanuolepola Donny,20,470.p.40908,470.l.165433.t.16
8,1,Justin Jefferson,Nick Wright Barely Legal,39,470.p.32692,470.l.165433.t.3
9,1,Jalen Hurts,Boone,60,470.p.32723,470.l.165433.t.1
10,1,Bo Nix,Free Paid,48,470.p.40875,470.l.165433.t.5
11,1,Puka Nacua,Stewed C,42,470.p.40168,470.l.165433.t.6
12,1,Christian McCaffrey,Work Ass,44,470.p.30121,470.l.165433.t.13
13,1,Drake London,Tuanigamanuolepola Donny,30,470.p.33963,470.l.165433.t.16
14,1,Tua Tagovailoa,Nick Wright Barely Legal,20,470.p.32675,470.l.165433.t.3
15,1,Drake Maye,Charles Dickens,55,470.p.40881,470.l.165433.t.4
16,1,Jonathan Taylor,Hello Darkness My Old Friend,44,470.p.32711,470.l.165433.t.15
17,2,Ja'Marr Chase,Work Ass,51,470.p.33393,470.l.165433.t.13
18,2,Amon-Ra St. Brown,Healthy as a Fucking Rhino,41,470.p.33500,470.l.165433.t.10
19,2,Brock Bowers,Pigs on the 7th Rank,25,470.p.40878,470.l.165433.t.14
20,2,Jaxon Smith-Njigba,Pelosis Powder,46,470.p.40041,470.l.165433.t.8
21,2,Saquon Barkley,Free Paid,40,470.p.30972,470.l.165433.t.5
22,2,Jordyn Tyson,Hello Darkness My Old Friend,5,470.p.42630,470.l.165433.t.15
23,2,Bhayshul Tuten,Shough and F#ck,18,470.p.41900,470.l.165433.t.2
24,2,Malik Nabers,Pelosis Powder,21,470.p.40899,470.l.165433.t.8
25,2,Lamar Jackson,Charles Dickens,60,470.p.31002,470.l.165433.t.4
26,2,CeeDee Lamb,Nick Wright Barely Legal,42,470.p.32687,470.l.165433.t.3
27,2,Jared Goff,Healthy as a Fucking Rhino,47,470.p.29235,470.l.165433.t.10
28,2,Omarion Hampton,Healthy as a Fucking Rhino,33,470.p.41807,470.l.165433.t.10
29,2,De'Von Achane,The Art of the Deal,40,470.p.40118,470.l.165433.t.7
30,2,Tanner McKee,Tuanigamanuolepola Donny,1,470.p.40220,470.l.165433.t.16
31,2,Joe Burrow,Hello Darkness My Old Friend,58,470.p.32671,470.l.165433.t.15
32,2,Jayden Daniels,Stewed C,57,470.p.40896,470.l.165433.t.6
33,3,Bucky Irving,Tuanigamanuolepola Donny,15,470.p.40993,470.l.165433.t.16
34,3,Breece Hall,🍾💼🥰,24,470.p.33991,470.l.165433.t.9
35,3,Rams,Healthy as a Fucking Rhino,4,470.p.100014,470.l.165433.t.10
36,3,James Cook III,🍾💼🥰,43,470.p.34019,470.l.165433.t.9
37,3,Nico Collins,Ginny Sack,31,470.p.33477,470.l.165433.t.11
38,3,Kenneth Walker,Hello Darkness My Old Friend,33,470.p.33996,470.l.165433.t.15
39,3,George Pickens,The Art of the Deal,28,470.p.34007,470.l.165433.t.7
40,3,Kyren Williams,Pelosis Powder,24,470.p.34120,470.l.165433.t.8
41,3,Jaxson Dart,Pelosis Powder,50,470.p.41810,470.l.165433.t.8
42,3,Caleb Williams,🍾💼🥰,57,470.p.40900,470.l.165433.t.9
43,3,Josh Jacobs,Pigs on the 7th Rank,21,470.p.31856,470.l.165433.t.14
44,3,Jeremiyah Love,Stewed C,42,470.p.42625,470.l.165433.t.6
45,3,Trey McBride,Hello Darkness My Old Friend,23,470.p.34010,470.l.165433.t.15
46,3,Michael Penix Jr.,Pigs on the 7th Rank,8,470.p.40889,470.l.165433.t.14
47,3,Jaylen Warren,Pigs on the 7th Rank,11,470.p.34447,470.l.165433.t.14
48,3,Brock Purdy,Pelosis Powder,48,470.p.34218,470.l.165433.t.8
49,4,Mike Evans,Phenom,15,470.p.27535,470.l.165433.t.12
50,4,Cam Ward,Healthy as a Fucking Rhino,36,470.p.41786,470.l.165433.t.10
51,4,Justin Herbert,Shough and F#ck,54,470.p.32676,470.l.165433.t.2
52,4,Ashton Jeanty,Phenom,33,470.p.41791,470.l.165433.t.12
53,4,Trevor Lawrence,Pigs on the 7th Rank,51,470.p.33389,470.l.165433.t.14
54,4,Patrick Mahomes,Pigs on the 7th Rank,51,470.p.30123,470.l.165433.t.14
55,4,Tee Higgins,Free Paid,21,470.p.32703,470.l.165433.t.5
56,4,Chase Brown,Charles Dickens,32,470.p.40196,470.l.165433.t.4
57,4,Dak Prescott,Work Ass,52,470.p.29369,470.l.165433.t.13
58,4,Matthew Stafford,Phenom,49,470.p.9265,470.l.165433.t.12
59,4,Daniel Jones,Ginny Sack,30,470.p.31838,470.l.165433.t.11
60,4,Rashee Rice,Tuanigamanuolepola Donny,20,470.p.40084,470.l.165433.t.16
61,4,DeVonta Smith,Free Paid,24,470.p.33398,470.l.165433.t.5
62,4,Jacoby Brissett,Tuanigamanuolepola Donny,21,470.p.29325,470.l.165433.t.16
63,4,Derrick Henry,Boone,33,470.p.29279,470.l.165433.t.1
64,4,Geno Smith,🍾💼🥰,20,470.p.26662,470.l.165433.t.9
65,5,A.J. Brown,Charles Dickens,25,470.p.31883,470.l.165433.t.4
66,5,Kyler Murray,The Art of the Deal,37,470.p.31833,470.l.165433.t.7
67,5,Jordan Love,The Art of the Deal,34,470.p.32696,470.l.165433.t.7
68,5,Baker Mayfield,Boone,35,470.p.30971,470.l.165433.t.1
69,5,Travis Etienne Jr.,Healthy as a Fucking Rhino,8,470.p.33413,470.l.165433.t.10
70,5,Tyler Shough,Shough and F#ck,46,470.p.41825,470.l.165433.t.2
71,5,Zay Flowers,Healthy as a Fucking Rhino,22,470.p.40039,470.l.165433.t.10
72,5,Shedeur Sanders,Ginny Sack,11,470.p.41930,470.l.165433.t.11
73,5,Sam Darnold,Phenom,39,470.p.30973,470.l.165433.t.12
74,5,Malik Willis,Ginny Sack,34,470.p.34042,470.l.165433.t.11
75,5,Deshaun Watson,Free Paid,19,470.p.30125,470.l.165433.t.5
76,5,Emeka Egbuka,Work Ass,21,470.p.41804,470.l.165433.t.13
77,5,Javonte Williams,Ginny Sack,22,470.p.33423,470.l.165433.t.11
78,5,Carson Beck,Tuanigamanuolepola Donny,8,470.p.42687,470.l.165433.t.16
79,5,Jaylen Waddle,Boone,12,470.p.33394,470.l.165433.t.1
80,5,Chris Godwin Jr.,Hello Darkness My Old Friend,8,470.p.30197,470.l.165433.t.15
81,6,Chris Olave,Tuanigamanuolepola Donny,14,470.p.33966,470.l.165433.t.16
82,6,Tetairoa McMillan,Tuanigamanuolepola Donny,15,470.p.41793,470.l.165433.t.16
83,6,C.J. Stroud,Stewed C,30,470.p.40030,470.l.165433.t.6
84,6,Garrett Wilson,The Art of the Deal,14,470.p.33965,470.l.165433.t.7
85,6,DJ Moore,🍾💼🥰,9,470.p.30994,470.l.165433.t.9
